Pass_ID,EH_ID,Mouse_strain,infection_isolate,Eimeria_species,HI_original_host,infection_concentration,infection_volume,infection_date,feces_collection_time,feces_weight(g),cage_number,number_of_mice,mean_oocyst_bigsquare_neubauer,vol_counting_mL,oocyst_per_mL,oocyst_in_tube,OPG,dpi,full_dpi,weight
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h00,2.292,1,2,0,1,0,0,0,7,dpi5_7,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.772,2,2,0,1,0,0,0,7,dpi5_7,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h00,2.333,1,2,0,1,0,0,0,7,dpi5_7,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h00,0.944,2,2,0,1,0,0,0,7,dpi5_7,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.271,1,2,0,1,0,0,0,7,dpi5_7,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.628,2,2,0,1,0,0,0,7,dpi5_7,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.353,1,2,0,1,0,0,0,8,dpi8,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.404,2,2,0,1,0,0,0,8,dpi8,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.138,1,2,8.5,1,85000,85000,74692,8,dpi8,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.344,2,2,33.5,1,335000,335000,249256,8,dpi8,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.37,1,2,92,1,920000,920000,671533,8,dpi8,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.12,2,2,62.5,1,625000,625000,558036,8,dpi8,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.957,1,2,0,1,0,0,0,8,dpi8,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,18h00,1.228,2,2,0,1,0,0,0,8,dpi8,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.209,1,2,0,1,0,0,0,9,dpi9,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.346,2,2,0,1,0,0,0,9,dpi9,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.541,1,2,31.75,1,317500,317500,206035,9,dpi9,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.357,2,2,23.25,1,232500,232500,171334,9,dpi9,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.248,1,2,NA,1,NA,NA,NA,9,dpi9,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.301,2,2,NA,1,NA,NA,NA,9,dpi9,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.258,1,2,0,1,0,0,0,9,dpi9,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.21,2,2,0,1,0,0,0,9,dpi9,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,12h00,1.418,1,2,0,1,0,0,0,10,dpi10,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,12h00,2.187,2,2,0,1,0,0,0,10,dpi10,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,12h00,2.063,1,2,9,1,90000,90000,43626,10,dpi10,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,12h00,2.212,2,2,7.5,1,75000,75000,33906,10,dpi10,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,12h00,1.501,1,2,34,2,170000,85000,56629,10,dpi10,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,12h00,1.675,2,2,1.5,1,15000,15000,8955,10,dpi10,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,12h00,0.989,1,2,0,1,0,0,0,10,dpi10,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,12h00,1.325,2,2,0,1,0,0,0,10,dpi10,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.652,1,2,0,1,0,0,0,11,dpi11,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.835,2,2,0,1,0,0,0,11,dpi11,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.563,1,2,1,1,10000,10000,6398,11,dpi11,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.455,2,2,0.5,1,5000,5000,3436,11,dpi11,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.67,1,2,0.25,1,2500,2500,1497,11,dpi11,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.507,2,2,0.25,1,2500,2500,1659,11,dpi11,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.462,1,2,0,1,0,0,0,11,dpi11,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,11h00,1.904,2,2,0,1,0,0,0,11,dpi11,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h30,1.305,1,2,0,1,0,0,0,14,dpi12_14,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h30,1.526,2,2,0,1,0,0,0,14,dpi12_14,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h30,2.186,1,2,0,1,0,0,0,14,dpi12_14,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h30,2.126,2,2,0,1,0,0,0,14,dpi12_14,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h30,1.697,1,2,0,1,0,0,0,14,dpi12_14,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h30,2.624,2,2,0,1,0,0,0,14,dpi12_14,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h30,1.378,1,2,0,1,0,0,0,14,dpi12_14,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h30,1.937,2,2,0,1,0,0,0,14,dpi12_14,NA
