experiment,#,EH_ID,dpi,weight,weight_dpi0,feces_weight,primary_infection,relative_weight
P2,11,LM0330,3,40.12,39.99,NA,E88,100.325081270318
P2,12,LM0331,3,42.49,43.08,NA,E139,98.6304549675023
P2,1,LM0320,4,37.63,37.99,NA,Eflab,99.0523822058436
P2,2,LM0321,4,39.16,40.02,NA,Eflab,97.8510744627686
P2,3,LM0322,4,39.47,40.6,NA,Eflab,97.2167487684729
P2,4,LM0323,4,38.35,39.33,NA,E88,97.5082634121536
P2,5,LM0324,4,37.33,37.9,NA,E88,98.4960422163588
P2,6,LM0325,4,44.03,47.63,NA,E64,92.441738400168
P2,7,LM0326,4,33.51,34.17,NA,E64,98.0684811237928
P2,8,LM0327,4,35.42,36.6,NA,E139,96.775956284153
P2,9,LM0328,4,38.95,39.8,NA,E139,97.8643216080402
P2,10,LM0329,4,37.66,40.71,NA,E64,92.5079832964873
P2,11,LM0330,4,40.66,39.99,NA,E88,101.675418854714
P2,12,LM0331,4,41.72,43.08,NA,E139,96.8430826369545
P2,1,LM0320,5,37.95,37.99,NA,Eflab,99.8947091339826
P2,2,LM0321,5,39.32,40.02,NA,Eflab,98.2508745627186
P2,3,LM0322,5,39.69,40.6,NA,Eflab,97.7586206896552
P2,4,LM0323,5,38.32,39.33,NA,E88,97.4319857615052
P2,5,LM0324,5,37.9,37.9,NA,E88,100
P2,6,LM0325,5,44.53,47.63,NA,E64,93.4914969557002
P2,7,LM0326,5,33.65,34.17,NA,E64,98.4781972490489
P2,8,LM0327,5,35.39,36.6,NA,E139,96.6939890710382
P2,9,LM0328,5,38.71,39.8,NA,E139,97.2613065326633
P2,10,LM0329,5,37.71,40.71,NA,E64,92.6308032424466
P2,11,LM0330,5,40.49,39.99,NA,E88,101.250312578145
P2,12,LM0331,5,40.46,43.08,NA,E139,93.9182915506035
P2,1,LM0320,6,38.76,37.99,NA,Eflab,102.026849170834
P2,2,LM0321,6,39.49,40.02,NA,Eflab,98.6756621689155
P2,3,LM0322,6,40.1,40.6,NA,Eflab,98.768472906404
P2,4,LM0323,6,38.54,39.33,NA,E88,97.9913551995932
P2,5,LM0324,6,37.64,37.9,NA,E88,99.3139841688654
P2,6,LM0325,6,44.47,47.63,11.27,E64,93.3655259290363
P2,7,LM0326,6,33.94,34.17,10.69,E64,99.3268949370793
P2,8,LM0327,6,35.26,36.6,13.59,E139,96.3387978142076
P2,9,LM0328,6,38.71,39.8,12.43,E139,97.2613065326633
P2,10,LM0329,6,37.98,40.71,8.74,E64,93.2940309506264
P2,11,LM0330,6,40.13,39.99,NA,E88,100.35008752188
P2,12,LM0331,6,40.23,43.08,9.77,E139,93.3844011142061
P2,1,LM0320,7,37.65,37.99,5.17,Eflab,99.1050276388523
P2,2,LM0321,7,39.7,40.02,4.44,Eflab,99.2003998000999
P2,3,LM0322,7,39.53,40.6,5.16,Eflab,97.3645320197044
P2,4,LM0323,7,38.95,39.33,4.88,E88,99.0338164251208
P2,5,LM0324,7,38.5,37.9,6.3,E88,101.583113456464
P2,11,LM0330,7,36.86,39.99,5.6,E88,92.1730432608152
P2,1,LM0320,8,37.04,37.99,NA,Eflab,97.4993419320874
P2,2,LM0321,8,37.57,40.02,NA,Eflab,93.8780609695152
P2,3,LM0322,8,37.6,40.6,NA,Eflab,92.6108374384237
P2,4,LM0323,8,38.6,39.33,NA,E88,98.1439105008899
P2,5,LM0324,8,38.39,37.9,NA,E88,101.292875989446
P2,11,LM0330,8,31.29,39.99,0.71,E88,78.2445611402851
P2,1,LM0320,9,35.2,37.99,NA,Eflab,92.6559620952882
P2,2,LM0321,9,35.43,40.02,NA,Eflab,88.5307346326836
P2,3,LM0322,9,35.47,40.6,NA,Eflab,87.3645320197044
P2,4,LM0323,9,39.18,39.33,NA,E88,99.6186117467582
P2,5,LM0324,9,37.76,37.9,NA,E88,99.6306068601583
P2,11,LM0330,9,NA,39.99,NA,E88,NA
P2,1,LM0320,10,34.58,37.99,NA,Eflab,91.023953672019
P2,2,LM0321,10,33.97,40.02,NA,Eflab,84.8825587206397
P2,3,LM0322,10,34.84,40.6,NA,Eflab,85.8128078817734
P2,4,LM0323,10,37.83,39.33,NA,E88,96.186117467582
P2,5,LM0324,10,38.49,37.9,NA,E88,101.55672823219
P2,11,LM0330,10,NA,39.99,NA,E88,NA
P2,1,LM0320,11,36.42,37.99,11.63,Eflab,95.8673335088181
P2,2,LM0321,11,33.25,40.02,10.11,Eflab,83.0834582708646
P2,3,LM0322,11,35.65,40.6,10.85,Eflab,87.807881773399
P2,4,LM0323,11,38.46,39.33,11.28,E88,97.7879481311976
P2,5,LM0324,11,38.92,37.9,13.02,E88,102.691292875989
P2,11,LM0330,11,NA,39.99,NA,E88,NA
