"","EH_ID","dpi","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","batch","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","infection"
"57","LM0424",8,"Spleen",17.5,12.9,15.8,2.96,6.21,23.3,1.72,20.5,16.7,11.3,20.1,4.75,14.2,"b","E11aOWZ","E11",14.49,16.11,89.9441340782123,1.24,"primary"
"58","LM0424",8,"Spleen",17.5,12.9,15.8,2.96,6.21,23.3,1.72,20.5,16.7,11.3,20.1,4.75,14.2,"b","E11bGQZ","E11",16.61,17.09,97.1913399648917,NA,"challenge"
"59","LM0424",8,"mLN",49.2,9.76,15.3,6.32,2.26,29.6,1.39,26.3,23.3,14.1,15.5,1.54,18.2,"b","E11aOWZ","E11",14.49,16.11,89.9441340782123,1.24,"primary"
"60","LM0424",8,"mLN",49.2,9.76,15.3,6.32,2.26,29.6,1.39,26.3,23.3,14.1,15.5,1.54,18.2,"b","E11bGQZ","E11",16.61,17.09,97.1913399648917,NA,"challenge"
"61","LM0425",8,"Spleen",19.8,12.8,14.6,2.22,4.1,25.4,1.91,17.4,16.8,11.7,18.7,3.41,14.9,"b","E11bBFZ","E11",17.67,17.72,99.7178329571106,NA,"challenge"
"62","LM0425",8,"Spleen",19.8,12.8,14.6,2.22,4.1,25.4,1.91,17.4,16.8,11.7,18.7,3.41,14.9,"b","E11aAGO","E11",16.05,16.13,99.5040297582145,1.24,"primary"
"63","LM0425",8,"mLN",53.4,10.4,14.3,4.68,1.58,43.2,1.52,37.1,24.5,13.4,16.2,1.32,16.9,"b","E11bBFZ","E11",17.67,17.72,99.7178329571106,NA,"challenge"
"64","LM0425",8,"mLN",53.4,10.4,14.3,4.68,1.58,43.2,1.52,37.1,24.5,13.4,16.2,1.32,16.9,"b","E11aAGO","E11",16.05,16.13,99.5040297582145,1.24,"primary"
"65","LM0426",8,"mLN",60,5.26,16,9.45,3.04,26.1,0.78,15.1,17.5,8.38,7.74,1.7,14.5,"b","E11bAYZ","E11",24.69,24.05,102.661122661123,NA,"challenge"
"66","LM0426",8,"mLN",60,5.26,16,9.45,3.04,26.1,0.78,15.1,17.5,8.38,7.74,1.7,14.5,"b","E11aLUV","E11",19.98,24.21,82.5278810408922,1.06,"primary"
"67","LM0426",8,"Spleen",40.3,4.72,17.4,4.03,6.22,20.4,0.89,11.5,8.57,15.7,8.56,4.29,23,"b","E11bAYZ","E11",24.69,24.05,102.661122661123,NA,"challenge"
"68","LM0426",8,"Spleen",40.3,4.72,17.4,4.03,6.22,20.4,0.89,11.5,8.57,15.7,8.56,4.29,23,"b","E11aLUV","E11",19.98,24.21,82.5278810408922,1.06,"primary"
"69","LM0428",8,"Spleen",28.9,6.13,14.6,5.4,4.66,35.4,1.31,25.4,9,12.6,25.8,5.43,38.4,"b","E11aDFJ","E11",18.87,21.42,88.0952380952381,0.5,"primary"
"70","LM0428",8,"Spleen",28.9,6.13,14.6,5.4,4.66,35.4,1.31,25.4,9,12.6,25.8,5.43,38.4,"b","E11bJOR","E11",18.87,19.87,94.9672873678913,NA,"challenge"
"71","LM0428",8,"mLN",47.6,5.92,24.3,13.4,5.75,46.1,1.12,31.9,19.1,11.5,27,3.97,32,"b","E11aDFJ","E11",18.87,21.42,88.0952380952381,0.5,"primary"
"72","LM0428",8,"mLN",47.6,5.92,24.3,13.4,5.75,46.1,1.12,31.9,19.1,11.5,27,3.97,32,"b","E11bJOR","E11",18.87,19.87,94.9672873678913,NA,"challenge"
"73","LM0430",8,"Spleen",36,5.9,20.5,4.53,5.78,22.6,0.79,14.6,7.23,14.2,14.1,3.88,19.3,"b","E11bJLX","E11",23.07,24.07,95.8454507685916,NA,"challenge"
"74","LM0430",8,"Spleen",36,5.9,20.5,4.53,5.78,22.6,0.79,14.6,7.23,14.2,14.1,3.88,19.3,"b","E11aOTW","E11",24.39,26.25,92.9142857142857,1.7,"primary"
"75","LM0430",8,"mLN",50.6,5.74,18.5,7.52,2.02,20.7,1.31,15.3,11.7,7.11,7.55,0.75,24.4,"b","E11bJLX","E11",23.07,24.07,95.8454507685916,NA,"challenge"
"76","LM0430",8,"mLN",50.6,5.74,18.5,7.52,2.02,20.7,1.31,15.3,11.7,7.11,7.55,0.75,24.4,"b","E11aOTW","E11",24.39,26.25,92.9142857142857,1.7,"primary"
"77","LM0431",8,"Spleen",32.6,5.93,14.6,4.57,4.56,30.1,0.97,20.1,7.8,9.61,24.6,5.46,32.6,"b","E11bOSZ","E11",18.5,19.3,95.8549222797928,NA,"challenge"
"78","LM0431",8,"Spleen",32.6,5.93,14.6,4.57,4.56,30.1,0.97,20.1,7.8,9.61,24.6,5.46,32.6,"b","E11aAHQ","E11",18.22,18.85,96.657824933687,1.28,"primary"
"79","LM0431",8,"mLN",53,5.56,21.9,12.8,4.38,41.9,1.41,25.8,15,7.47,33.4,2.13,22.1,"b","E11bOSZ","E11",18.5,19.3,95.8549222797928,NA,"challenge"
"80","LM0431",8,"mLN",53,5.56,21.9,12.8,4.38,41.9,1.41,25.8,15,7.47,33.4,2.13,22.1,"b","E11aAHQ","E11",18.22,18.85,96.657824933687,1.28,"primary"
