"","EH_ID","dpi","Position","batch","Pop","count","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","infection"
"34","LM0400",8,"mLN","b","IFNy_CD4",2.87,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"35","LM0400",8,"mLN","b","IFNy_CD8",23.5,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"36","LM0400",8,"mLN","b","IFNy_CD8",23.5,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"37","LM0400",8,"mLN","b","CD4",55.9,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"38","LM0400",8,"mLN","b","CD4",55.9,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"39","LM0400",8,"mLN","b","Treg",6.21,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"40","LM0400",8,"mLN","b","Treg",6.21,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"41","LM0400",8,"mLN","b","Div_Treg",26.4,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"42","LM0400",8,"mLN","b","Div_Treg",26.4,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"43","LM0400",8,"mLN","b","Treg17",17.5,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"44","LM0400",8,"mLN","b","Treg17",17.5,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"45","LM0400",8,"mLN","b","Th1",5.01,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"46","LM0400",8,"mLN","b","Th1",5.01,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"47","LM0400",8,"mLN","b","Div_Th1",44.1,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"48","LM0400",8,"mLN","b","Div_Th1",44.1,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"49","LM0400",8,"mLN","b","Th17",1.47,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"50","LM0400",8,"mLN","b","Th17",1.47,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"51","LM0400",8,"mLN","b","Div_Th17",29.7,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"52","LM0400",8,"mLN","b","Div_Th17",29.7,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"53","LM0401",8,"Spleen","b","CD4",36,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"54","LM0401",8,"Spleen","b","CD4",36,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"55","LM0401",8,"Spleen","b","Treg",5.16,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"56","LM0401",8,"Spleen","b","Treg",5.16,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"57","LM0401",8,"Spleen","b","Div_Treg",22.1,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"58","LM0401",8,"Spleen","b","Div_Treg",22.1,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"59","LM0401",8,"Spleen","b","Treg17",4.98,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"60","LM0401",8,"Spleen","b","Treg17",4.98,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"61","LM0401",8,"Spleen","b","Th1",4.95,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"62","LM0401",8,"Spleen","b","Th1",4.95,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"63","LM0401",8,"mLN","b","CD4",61.4,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"64","LM0401",8,"mLN","b","CD4",61.4,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"65","LM0401",8,"mLN","b","Treg",4.1,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"66","LM0401",8,"mLN","b","Treg",4.1,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"67","LM0401",8,"mLN","b","Div_Treg",21.4,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"68","LM0401",8,"mLN","b","Div_Treg",21.4,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"69","LM0401",8,"mLN","b","Treg17",15.5,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"70","LM0401",8,"mLN","b","Treg17",15.5,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"71","LM0401",8,"mLN","b","Th1",1.46,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"72","LM0401",8,"mLN","b","Th1",1.46,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"73","LM0401",8,"mLN","b","Div_Th1",33.8,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"74","LM0401",8,"mLN","b","Div_Th1",33.8,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"75","LM0401",8,"mLN","b","Th17",0.99,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"76","LM0401",8,"mLN","b","Th17",0.99,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"77","LM0401",8,"mLN","b","Div_Th17",17,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"78","LM0401",8,"mLN","b","Div_Th17",17,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"79","LM0401",8,"mLN","b","CD8",16.4,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"80","LM0401",8,"mLN","b","CD8",16.4,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"81","LM0401",8,"mLN","b","Act_CD8",4.37,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"82","LM0401",8,"mLN","b","Act_CD8",4.37,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"83","LM0401",8,"mLN","b","Div_Act_CD8",11.6,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"84","LM0401",8,"mLN","b","Div_Act_CD8",11.6,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"85","LM0401",8,"mLN","b","IFNy_CD4",0.34,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"86","LM0401",8,"mLN","b","IFNy_CD4",0.34,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"87","LM0401",8,"mLN","b","IFNy_CD8",16.2,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"88","LM0401",8,"mLN","b","IFNy_CD8",16.2,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"89","LM0401",8,"Spleen","b","Div_Th17",17.6,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"90","LM0401",8,"Spleen","b","Div_Th17",17.6,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"91","LM0401",8,"Spleen","b","CD8",8.61,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"92","LM0401",8,"Spleen","b","CD8",8.61,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"93","LM0401",8,"Spleen","b","Div_Th1",22.5,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"94","LM0401",8,"Spleen","b","Div_Th1",22.5,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"95","LM0401",8,"Spleen","b","Th17",1.08,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"96","LM0401",8,"Spleen","b","Th17",1.08,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"97","LM0401",8,"Spleen","b","IFNy_CD4",3.67,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"98","LM0401",8,"Spleen","b","IFNy_CD4",3.67,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"99","LM0401",8,"Spleen","b","IFNy_CD8",17.6,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"100","LM0401",8,"Spleen","b","IFNy_CD8",17.6,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"101","LM0401",8,"Spleen","b","Act_CD8",10.7,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"102","LM0401",8,"Spleen","b","Act_CD8",10.7,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"103","LM0401",8,"Spleen","b","Div_Act_CD8",13,"E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"104","LM0401",8,"Spleen","b","Div_Act_CD8",13,"E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"105","LM0402",8,"mLN","b","CD4",47.2,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"106","LM0402",8,"mLN","b","CD4",47.2,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"107","LM0402",8,"mLN","b","Treg",5.66,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"108","LM0402",8,"mLN","b","Treg",5.66,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"109","LM0402",8,"mLN","b","Div_Act_CD8",38.9,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"110","LM0402",8,"mLN","b","Div_Act_CD8",38.9,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"111","LM0402",8,"mLN","b","IFNy_CD4",2.84,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"112","LM0402",8,"mLN","b","IFNy_CD4",2.84,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"113","LM0402",8,"mLN","b","IFNy_CD8",18.2,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"114","LM0402",8,"mLN","b","IFNy_CD8",18.2,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"115","LM0402",8,"Spleen","b","Treg17",6.01,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"116","LM0402",8,"Spleen","b","Treg17",6.01,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"117","LM0402",8,"Spleen","b","Th1",6.72,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"118","LM0402",8,"Spleen","b","Th1",6.72,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"119","LM0402",8,"mLN","b","Div_Treg",30.2,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"120","LM0402",8,"mLN","b","Div_Treg",30.2,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"121","LM0402",8,"mLN","b","Treg17",18.5,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"122","LM0402",8,"mLN","b","Treg17",18.5,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"123","LM0402",8,"mLN","b","Th1",6.8,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"124","LM0402",8,"mLN","b","Th1",6.8,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"125","LM0402",8,"mLN","b","Div_Th1",63.4,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"126","LM0402",8,"mLN","b","Div_Th1",63.4,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"127","LM0402",8,"mLN","b","Th17",1.52,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"128","LM0402",8,"mLN","b","Th17",1.52,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"129","LM0402",8,"mLN","b","Div_Th17",47.9,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"130","LM0402",8,"mLN","b","Div_Th17",47.9,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"131","LM0402",8,"mLN","b","CD8",15.6,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"132","LM0402",8,"mLN","b","CD8",15.6,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"133","LM0402",8,"mLN","b","Act_CD8",11.2,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"134","LM0402",8,"mLN","b","Act_CD8",11.2,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"135","LM0402",8,"Spleen","b","CD4",29.6,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"136","LM0402",8,"Spleen","b","CD4",29.6,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"137","LM0402",8,"Spleen","b","Treg",4.97,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"138","LM0402",8,"Spleen","b","Treg",4.97,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"139","LM0402",8,"Spleen","b","Div_Treg",15.7,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"140","LM0402",8,"Spleen","b","Div_Treg",15.7,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"141","LM0402",8,"Spleen","b","Div_Th17",25.3,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"142","LM0402",8,"Spleen","b","Div_Th17",25.3,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"143","LM0402",8,"Spleen","b","CD8",7.57,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"144","LM0402",8,"Spleen","b","CD8",7.57,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"145","LM0402",8,"Spleen","b","Div_Th1",48.9,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"146","LM0402",8,"Spleen","b","Div_Th1",48.9,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"147","LM0402",8,"Spleen","b","Th17",1.51,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"148","LM0402",8,"Spleen","b","Th17",1.51,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"149","LM0402",8,"Spleen","b","IFNy_CD4",6.43,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"150","LM0402",8,"Spleen","b","IFNy_CD4",6.43,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"151","LM0402",8,"Spleen","b","IFNy_CD8",32.1,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"152","LM0402",8,"Spleen","b","IFNy_CD8",32.1,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"153","LM0402",8,"Spleen","b","Act_CD8",11.9,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"154","LM0402",8,"Spleen","b","Act_CD8",11.9,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"155","LM0402",8,"Spleen","b","Div_Act_CD8",37.6,"E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"156","LM0402",8,"Spleen","b","Div_Act_CD8",37.6,"E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"157","LM0404",8,"mLN","b","CD4",48.2,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"158","LM0404",8,"mLN","b","CD4",48.2,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"159","LM0404",8,"mLN","b","Treg",12.4,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"160","LM0404",8,"mLN","b","Treg",12.4,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"161","LM0404",8,"Spleen","b","CD4",12.3,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"162","LM0404",8,"Spleen","b","CD4",12.3,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"163","LM0404",8,"Spleen","b","Treg",14.6,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"164","LM0404",8,"Spleen","b","Treg",14.6,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"165","LM0404",8,"Spleen","b","Div_Treg",16.9,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"166","LM0404",8,"Spleen","b","Div_Treg",16.9,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"167","LM0404",8,"Spleen","b","Treg17",4.65,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"168","LM0404",8,"Spleen","b","Treg17",4.65,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"169","LM0404",8,"Spleen","b","Th1",6.65,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"170","LM0404",8,"Spleen","b","Th1",6.65,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"171","LM0404",8,"Spleen","b","Div_Th1",37.4,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"172","LM0404",8,"Spleen","b","Div_Th1",37.4,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"173","LM0404",8,"Spleen","b","Th17",3.29,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"174","LM0404",8,"Spleen","b","Th17",3.29,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"175","LM0404",8,"Spleen","b","Div_Th17",20.4,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"176","LM0404",8,"Spleen","b","Div_Th17",20.4,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"177","LM0404",8,"Spleen","b","CD8",11.6,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"178","LM0404",8,"Spleen","b","CD8",11.6,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"179","LM0404",8,"Spleen","b","Act_CD8",8.29,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"180","LM0404",8,"Spleen","b","Act_CD8",8.29,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"181","LM0404",8,"Spleen","b","Div_Act_CD8",40.3,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"182","LM0404",8,"Spleen","b","Div_Act_CD8",40.3,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"183","LM0404",8,"Spleen","b","IFNy_CD4",5.15,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"184","LM0404",8,"Spleen","b","IFNy_CD4",5.15,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"185","LM0404",8,"Spleen","b","IFNy_CD8",17.6,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"186","LM0404",8,"Spleen","b","IFNy_CD8",17.6,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"187","LM0404",8,"mLN","b","Act_CD8",14,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"188","LM0404",8,"mLN","b","Act_CD8",14,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"189","LM0404",8,"mLN","b","Div_Act_CD8",38.1,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"190","LM0404",8,"mLN","b","Div_Act_CD8",38.1,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"191","LM0404",8,"mLN","b","IFNy_CD4",1.67,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"192","LM0404",8,"mLN","b","IFNy_CD4",1.67,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"193","LM0404",8,"mLN","b","IFNy_CD8",21.1,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"194","LM0404",8,"mLN","b","IFNy_CD8",21.1,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"195","LM0404",8,"mLN","b","Th1",3.99,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"196","LM0404",8,"mLN","b","Th1",3.99,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"197","LM0404",8,"mLN","b","Div_Th1",52.9,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"198","LM0404",8,"mLN","b","Div_Th1",52.9,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"199","LM0404",8,"mLN","b","Div_Treg",17.9,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"200","LM0404",8,"mLN","b","Div_Treg",17.9,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"201","LM0404",8,"mLN","b","Treg17",7.52,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"202","LM0404",8,"mLN","b","Treg17",7.52,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"203","LM0404",8,"mLN","b","CD8",26.1,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"204","LM0404",8,"mLN","b","CD8",26.1,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"205","LM0404",8,"mLN","b","Th17",2.2,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"206","LM0404",8,"mLN","b","Th17",2.2,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"207","LM0404",8,"mLN","b","Div_Th17",36.6,"E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"208","LM0404",8,"mLN","b","Div_Th17",36.6,"E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"209","LM0407",8,"Spleen","b","Div_Th1",53.9,"E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
"210","LM0407",8,"Spleen","b","Div_Th1",53.9,"E11bAOS","E11",24.89,25.05,99.3612774451098,NA,"challenge"
"211","LM0407",8,"Spleen","b","Th1",8.86,"E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
"212","LM0407",8,"Spleen","b","Th1",8.86,"E11bAOS","E11",24.89,25.05,99.3612774451098,NA,"challenge"
"213","LM0407",8,"Spleen","b","CD4",27.3,"E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
"214","LM0407",8,"Spleen","b","CD4",27.3,"E11bAOS","E11",24.89,25.05,99.3612774451098,NA,"challenge"
"215","LM0407",8,"Spleen","b","Treg",6.37,"E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
"216","LM0407",8,"Spleen","b","Treg",6.37,"E11bAOS","E11",24.89,25.05,99.3612774451098,NA,"challenge"
"217","LM0407",8,"Spleen","b","Div_Treg",19.5,"E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
"218","LM0407",8,"Spleen","b","Div_Treg",19.5,"E11bAOS","E11",24.89,25.05,99.3612774451098,NA,"challenge"
"219","LM0407",8,"Spleen","b","Treg17",4.39,"E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
