Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,InfectionStrain,EH_ID
,mus x dom,BUSNA_STRA,SY,8279,62,STRA,SY,6456,55,2018-05-31,2,5,4,1,EX,1134,M,F1,1M,7,11.2,P2,NA,REZERVA,BUSNA,STRA,inter subsp. hybrids,5.571428571,2,E88,LM0277
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-03-23,1,7,5,2,EX,725,F,F1,1F,5.49,9.81,L3,NA,,SCHUNT,PWD,inter subsp. hybrids,15.42857143,2,E88,LM0278
Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-05-17,2,5,4,1,EX,1059,M,63,1M,5.62,8.29,L3,NA,,BUSNA,BUSNA,parental strains,7.571428571,2,E64,LM0279
Schweben 2,dom,SCHUNT_SCHUNT,SY,7907,36,SCHUNT,SY,7904,37,2018-05-01,3,6,5,1,EX,925,F,38,1F,5.91,9.54,P2,NA,,SCHUNT,SCHUNT,parental strains,9.857142857,2,E64,LM0280
Straas2,dom,STRA_STRA,SY,4827,55,STRA,SY,4823,55,2018-04-03,3,7,2,5,EX,777,F,56,1F,6.85,11.88,L2,NA,,STRA,STRA,parental strains,13.85714286,2,E88,LM0282
Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-04-24,5,6,3,2,EX,895,M,43,1M,5.07,7.15,L2,NA,,PWD,PWD,parental strains,10.85714286,2,E88,LM0283
STRA x BUSNA,dom x mus,STRA_BUSNA,SY,6346,55,BUSNA,SY,6111,60,2018-03-07,2,5,2,3,EX,661,F,F1,1F,7.89,10.41,L3,NA,,STRA,BUSNA,inter subsp. hybrids,17.71428571,2,E64,LM0284
Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-04-24,5,6,3,2,EX,896,M,43,1M,4.55,5.35,L3,NA,,PWD,PWD,parental strains,10.85714286,2,E64,LM0285
,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-05-30,8,3,1,2,EX,1131,F,F1,1F,6.82,10.46,P2,NA,,PWD,BUSNA,outbred hybrids,5.714285714,2,E88,LM0286
BUSNA x PWD,mus x mus,BUSNA_PWD,SY,6115,60,PWD,SY,7040,43,2018-04-01,3,4,2,2,EX,755,F,F1,1F,6.67,11.55,L3,NA,,BUSNA,PWD,outbred hybrids,14.14285714,2,E64,LM0287
,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-05-30,8,3,1,2,EX,1132,F,F1,1F,6.97,10.52,P3,NA,REZERVA,PWD,BUSNA,outbred hybrids,5.714285714,2,E88,LM0288
Schweben 2,dom,SCHUNT_SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,2018-05-01,3,6,5,1,EX,924,M,38,1M,5.62,9.23,P4,NA,,SCHUNT,SCHUNT,parental strains,9.857142857,2,E88,LM0289
PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-05-02,7,6,5,?,EX,940,M,F1,1M,5.21,8.67,L3,NA,,PWD,BUSNA,outbred hybrids,9.714285714,2,E64,LM0291
BUSNA x PWD,mus x mus,BUSNA_PWD,SY,6115,60,PWD,SY,7040,43,2018-04-28,4,4,2+?,1+?,EX,914,M,F1,1M,715,12,P3,NA,REZERVA,BUSNA,PWD,outbred hybrids,10.28571429,2,E88,LM0292
Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-05-17,2,5,4,1,EX,1060,M,63,1M,5.27,8.06,L4,NA,,BUSNA,BUSNA,parental strains,7.571428571,2,E88,LM0293
Prague,mus,PWD_PWD,SY,7076,42,PWD,SY,7073,42,2018-04-03,2,9,3,6,EX,780,M,43,1M,3.17,5.14,L3,NA,,PWD,PWD,parental strains,13.85714286,2,E64,LM0294
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-03-23,1,7,5,2,EX,724,F,F1,1F,5.48,9.95,L2,NA,,SCHUNT,PWD,inter subsp. hybrids,15.42857143,2,E64,LM0295
