Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,InfectionStrain,EH_ID,primary,challenge,contamination,InfectionHistory,InfectionHistoryTotal
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-04-15,2,10,7,3,EX,837,F,F1,1F,6.95,11.7,P5,NA,,SCHUNT,PWD,inter subsp. hybrids,12.14285714,2,E64,LM0240,E88,E64,u.c.,E88 E64,u.c. E88 E64
STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-05-02,4,10,6,4,EX,935,M,F1,1M,7.69,13.66,P4,NA,REZERVA,STRA,SCHUNT,outbred hybrids,9.714285714,2,E88,LM0247,E88,E88,u.c.,E88 E88,u.c. E88 E88
STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-05-02,4,10,6,4,EX,936,F,F1,1F,7.62,12.83,P5,NA,REZERVA,STRA,SCHUNT,outbred hybrids,9.714285714,2,E64,LM0248,E88,E64,E64,E88 E64,E64 E88 E64
SCHUNT x STRA,dom,SCHUNT_STRA,SY,3472,36,STRA,SY,7281,56,2018-05-06,5,5,3,2,EX,968,M,F1,1M,7.31,12.85,L4,NA,REZERVA,SCHUNT,STRA,outbred hybrids,9.142857143,2,E64,LM0249,E88,E64,u.c.,E88 E64,u.c. E88 E64
STRA x BUSNA,dom x mus,STRA_BUSNA,SY,6346,55,BUSNA,SY,6111,60,2018-04-20,3,7,2,5,EX,869,F,F1,1F,7.32,12.31,P2,NA,REZERVA,STRA,BUSNA,inter subsp. hybrids,11.42857143,2,E88,LM0251,E88,E88,NA,E88 E88,NA E88 E88
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-05-08,3,7,4,3,EX,989,M,F1,1M,6.59,11.22,L4,NA,REZERVA,SCHUNT,PWD,inter subsp. hybrids,8.857142857,2,E88,LM0254,E88,E88,NA,E88 E88,NA E88 E88
Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-05-17,2,5,4,1,EX,1061,M,63,1M,5.53,8.64,L5,NA,REZERVA,BUSNA,BUSNA,parental strains,7.571428571,2,E64,LM0255,E88,E64,NA,E88 E64,NA E88 E64
Straas2,dom,STRA_STRA,SY,8113,56,STRA,SY,8111,56,2018-05-03,2,7,6,1,EX,949,M,57,1M,7.77,11.71,P3,NA,,STRA,STRA,parental strains,9.571428571,2,E88,LM0256,E88,E88,NA,E88 E88,NA E88 E88
Schweben 2,dom,SCHUNT_SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,2018-05-07,6,5,2,3,EX,982,M,37,1M,7.32,11.61,P2,NA,REZERVA,SCHUNT,SCHUNT,parental strains,9,2,E64,LM0257,E88,E64,NA,E88 E64,NA E88 E64
,mus x mus,BUSNA_PWD,SY,6115,60,PWD,SY,7040,43,2018-05-25,5,3,0,3,EX,1099,F,F1,1F,7.73,11.07,P2,NA,REZERVA,BUSNA,PWD,outbred hybrids,6.428571429,2,E64,LM0258,E64,E64,E64,E64 E64,E64 E64 E64
STRA x BUSNA,dom x mus,STRA_BUSNA,SY,6346,55,BUSNA,SY,6111,60,2018-04-20,3,7,2,5,EX,868,M,F1,1M,7.61,12.58,L2,NA,REZERVA,STRA,BUSNA,inter subsp. hybrids,11.42857143,2,E64,LM0259,E64,E64,u.c.,E64 E64,u.c. E64 E64
PWD x SCHUNT,mus x dom,PWD_SCHUNT,SY,5681,42,SCHUNT,SY,8172,37,2018-05-07,5,8,4,4,EX,981,F,F1,1F,4.72,8.14,P3,NA,,PWD,SCHUNT,inter subsp. hybrids,9,2,E88,LM0261,E64,E88,NA,E64 E88,NA E64 E88
Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-04-24,5,6,3,2,EX,897,M,43,1M,4.85,7.46,L4,NA,,PWD,PWD,parental strains,10.85714286,2,E88,LM0264,E64,E88,NA,E64 E88,NA E64 E88
SCHUNT x STRA,dom,SCHUNT_STRA,SY,3472,36,STRA,SY,7281,56,2018-05-31,6,4,1+?,2+?,EX,1133,F,F1,1F,8.69,14.01,L2,NA,REZERVA,SCHUNT,STRA,outbred hybrids,5.571428571,2,E88,LM0266,E64,E88,u.c.,E64 E88,u.c. E64 E88
Schweben 2,dom,SCHUNT_SCHUNT,SY,5726,36,SCHUNT,SY,5725,36,2018-05-07,6,5,2,3,EX,984,F,37,1F,6.39,9.46,P4,NA,,SCHUNT,SCHUNT,parental strains,9,2,E88,LM0268,E64,E88,E64,E64 E88,E64 E64 E88
STRA x BUSNA,dom x mus,STRA_BUSNA,SY,6458,55,BUSNA,SY,5143,59,2018-03-13,1,9,8,1,EX,681,M,F1,1M,6.85,11.14,L2,NA,,STRA,BUSNA,inter subsp. hybrids,16.85714286,2,E88,LM0271,E64,E88,NA,E64 E88,NA E64 E88
Schweben 2,dom,SCHUNT_SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,2018-05-01,3,6,5,1,EX,923,M,38,1M,5.79,9.68,L5,NA,,SCHUNT,SCHUNT,parental strains,9.857142857,2,E64,LM0260,E64,E64,E64,E64 E64,E64 E64 E64
Buskovice,mus,BUSNA_BUSNA,SY,5146,59,BUSNA,SY,5144,59,2018-05-16,8,5,1,4,EX,1039,M,60,1M,5.67,9.21,P2,NA,,BUSNA,BUSNA,parental strains,7.714285714,2,E64,LM0262,E64,E64,E64,E64 E64,E64 E64 E64
PWD x SCHUNT,mus x dom,PWD_SCHUNT,SY,5681,42,SCHUNT,SY,8172,37,2018-05-07,5,8,4,4,EX,980,F,F1,1F,5.84,9.88,P2,NA,,PWD,SCHUNT,inter subsp. hybrids,9,2,E64,LM0263,E64,E64,u.c.,E64 E64,u.c. E64 E64
BUSNA x STRA,mus x dom,BUSNA_STRA,SY,6114,60,STRA,SY,6345,55,2018-04-04,3,1,1,0,EX,786,M,F1,1M,7,11.22,L2,NA,,BUSNA,STRA,inter subsp. hybrids,13.71428571,2,E64,LM0265,E64,E64,NA,E64 E64,NA E64 E64
STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,713,F,F1,1F,6.31,11.58,L2,NA,,STRA,SCHUNT,outbred hybrids,15.71428571,2,E64,LM0269,E64,E64,E64,E64 E64,E64 E64 E64
SCHUNT x STRA,dom,SCHUNT_STRA,SY,3472,36,STRA,SY,7281,56,2018-04-10,4,7,5,2,EX,816,F,F1,1F,6.1,10.96,P2,NA,,SCHUNT,STRA,outbred hybrids,12.85714286,2,E64,LM0270,E64,E64,E64,E64 E64,E64 E64 E64
,mus x dom,BUSNA_STRA,SY,8279,62,STRA,SY,6456,55,2018-05-31,2,5,4,1,EX,1135,F,F1,1F,7.03,11.61,L2,NA,REZERVA,BUSNA,STRA,inter subsp. hybrids,5.571428571,2,E88,LM0272,E64,E88,NA,E64 E88,NA E64 E88
STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,714,F,F1,1F,5.74,10.88,L3,NA,,STRA,SCHUNT,outbred hybrids,15.71428571,2,E88,LM0273,E64,E88,u.c.,E64 E88,u.c. E64 E88
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-05-08,3,7,4,3,EX,990,F,F1,1F,6.27,11.2,P2,NA,REZERVA,SCHUNT,PWD,inter subsp. hybrids,8.857142857,2,E88,LM0275,E64,E88,NA,E64 E88,NA E64 E88
Straas2,dom,STRA_STRA,SY,4827,55,STRA,SY,4823,55,2018-04-03,3,7,2,5,EX,776,F,56,1F,7.37,12.43,P5,NA,,STRA,STRA,parental strains,13.85714286,2,E88,LM0276,E64,E88,NA,E64 E88,NA E64 E88
,mus x dom,BUSNA_STRA,SY,8279,62,STRA,SY,6456,55,2018-05-31,2,5,4,1,EX,1134,M,F1,1M,7,11.2,P2,NA,REZERVA,BUSNA,STRA,inter subsp. hybrids,5.571428571,2,E88,LM0277,E64,E88,NA,E64 E88,NA E64 E88
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-03-23,1,7,5,2,EX,725,F,F1,1F,5.49,9.81,L3,NA,,SCHUNT,PWD,inter subsp. hybrids,15.42857143,2,E88,LM0278,E64,E88,NA,E64 E88,NA E64 E88
Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-05-17,2,5,4,1,EX,1059,M,63,1M,5.62,8.29,L3,NA,,BUSNA,BUSNA,parental strains,7.571428571,2,E64,LM0279,E64,E64,NA,E64 E64,NA E64 E64
Schweben 2,dom,SCHUNT_SCHUNT,SY,7907,36,SCHUNT,SY,7904,37,2018-05-01,3,6,5,1,EX,925,F,38,1F,5.91,9.54,P2,NA,,SCHUNT,SCHUNT,parental strains,9.857142857,2,E64,LM0280,E64,E64,NA,E64 E64,NA E64 E64
Straas2,dom,STRA_STRA,SY,4827,55,STRA,SY,4823,55,2018-04-03,3,7,2,5,EX,777,F,56,1F,6.85,11.88,L2,NA,,STRA,STRA,parental strains,13.85714286,2,E88,LM0282,E64,E88,NA,E64 E88,NA E64 E88
Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-04-24,5,6,3,2,EX,895,M,43,1M,5.07,7.15,L2,NA,,PWD,PWD,parental strains,10.85714286,2,E88,LM0283,E64,E88,E64,E64 E88,E64 E64 E88
STRA x BUSNA,dom x mus,STRA_BUSNA,SY,6346,55,BUSNA,SY,6111,60,2018-03-07,2,5,2,3,EX,661,F,F1,1F,7.89,10.41,L3,NA,,STRA,BUSNA,inter subsp. hybrids,17.71428571,2,E64,LM0284,E64,E64,u.c.,E64 E64,u.c. E64 E64
Prague,mus,PWD_PWD,SY,5343,42,PWD,SY,5340,42,2018-04-24,5,6,3,2,EX,896,M,43,1M,4.55,5.35,L3,NA,,PWD,PWD,parental strains,10.85714286,2,E64,LM0285,E64,E64,NA,E64 E64,NA E64 E64
,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-05-30,8,3,1,2,EX,1131,F,F1,1F,6.82,10.46,P2,NA,,PWD,BUSNA,outbred hybrids,5.714285714,2,E88,LM0286,E64,E88,NA,E64 E88,NA E64 E88
BUSNA x PWD,mus x mus,BUSNA_PWD,SY,6115,60,PWD,SY,7040,43,2018-04-01,3,4,2,2,EX,755,F,F1,1F,6.67,11.55,L3,NA,,BUSNA,PWD,outbred hybrids,14.14285714,2,E64,LM0287,E64,E64,NA,E64 E64,NA E64 E64
,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-05-30,8,3,1,2,EX,1132,F,F1,1F,6.97,10.52,P3,NA,REZERVA,PWD,BUSNA,outbred hybrids,5.714285714,2,E88,LM0288,E64,E88,u.c.,E64 E88,u.c. E64 E88
Schweben 2,dom,SCHUNT_SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,2018-05-01,3,6,5,1,EX,924,M,38,1M,5.62,9.23,P4,NA,,SCHUNT,SCHUNT,parental strains,9.857142857,2,E88,LM0289,E64,E88,NA,E64 E88,NA E64 E88
PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-05-02,7,6,5,?,EX,940,M,F1,1M,5.21,8.67,L3,NA,,PWD,BUSNA,outbred hybrids,9.714285714,2,E64,LM0291,E64,E64,E64,E64 E64,E64 E64 E64
BUSNA x PWD,mus x mus,BUSNA_PWD,SY,6115,60,PWD,SY,7040,43,2018-04-28,4,4,2+?,1+?,EX,914,M,F1,1M,715,12,P3,NA,REZERVA,BUSNA,PWD,outbred hybrids,10.28571429,2,E88,LM0292,E64,E88,NA,E64 E88,NA E64 E88
Buskovice,mus,BUSNA_BUSNA,SY,8209,62,BUSNA,SY,8208,62,2018-05-17,2,5,4,1,EX,1060,M,63,1M,5.27,8.06,L4,NA,,BUSNA,BUSNA,parental strains,7.571428571,2,E88,LM0293,E64,E88,NA,E64 E88,NA E64 E88
Prague,mus,PWD_PWD,SY,7076,42,PWD,SY,7073,42,2018-04-03,2,9,3,6,EX,780,M,43,1M,3.17,5.14,L3,NA,,PWD,PWD,parental strains,13.85714286,2,E64,LM0294,E64,E64,E64,E64 E64,E64 E64 E64
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-03-23,1,7,5,2,EX,724,F,F1,1F,5.48,9.95,L2,NA,,SCHUNT,PWD,inter subsp. hybrids,15.42857143,2,E64,LM0295,NA,NA,NA,NA,NA
