Sample ID	Date and Time	Conc.	Unit	260/280	260/230	Sample Type	cDNA to dilute	H2O	Sum(ul)	Conc
LM_0294	10/15/2019 12:33:15 PM	1950	ng/ul	1.7	1.8	ssDNA	1.7	9.3	11	300
LM_0275	10/15/2019 12:33:46 PM	1656.6	ng/ul	1.69	1.95	ssDNA	2	9	11	300
LM_0232	10/16/2019 1:40:19 PM	1755	ng/ul	1.7	1.86	ssDNA	1.9	9.1	11	300
LM_0255	10/16/2019 1:40:55 PM	1716.4	ng/ul	1.7	1.82	ssDNA	1.9	9.1	11	300
LM_0247	10/16/2019 1:41:20 PM	1484.3	ng/ul	1.65	1.88	ssDNA	2.2	8.8	11	300
LM_0257	10/16/2019 1:41:55 PM	1443.5	ng/ul	1.66	1.54	ssDNA	2.3	8.7	11	300
LM_0268	10/16/2019 1:42:32 PM	1450.8	ng/ul	1.65	1.98	ssDNA	2.3	8.7	11	300
LM_0260	10/16/2019 1:42:59 PM	1553.6	ng/ul	1.67	1.75	ssDNA	2.1	8.9	11	300
LM_0280	10/16/2019 1:43:31 PM	1732.8	ng/ul	1.69	1.9	ssDNA	1.9	9.1	11	300
LM_0262	10/16/2019 1:44:01 PM	1686	ng/ul	1.7	1.85	ssDNA	2	9	11	300
LM_0270	10/16/2019 1:44:34 PM	1496.3	ng/ul	1.66	1.74	ssDNA	2.2	8.8	11	300
LM_0279	10/16/2019 1:45:03 PM	1630.1	ng/ul	1.68	1.96	ssDNA	2	9	11	300
LM_0240	10/16/2019 1:45:31 PM	1641.8	ng/ul	1.66	1.66	ssDNA	2	9	11	300
LM_0284	10/16/2019 1:46:01 PM	834.8	ng/ul	1.08	1.17	ssDNA	4	7	11	300
LM_0233	10/16/2019 1:46:33 PM	1697.5	ng/ul	1.7	1.94	ssDNA	1.9	9.1	11	300
LM_0258	10/16/2019 1:47:01 PM	1718.7	ng/ul	1.69	1.76	ssDNA	1.9	9.1	11	300
LM_0256	10/16/2019 1:47:36 PM	1476.8	ng/ul	1.66	1.81	ssDNA	2.2	8.8	11	300
LM_0227	10/16/2019 1:48:07 PM	1551.5	ng/ul	1.68	1.98	ssDNA	2.1	8.9	11	300
LM_0231	10/16/2019 1:48:39 PM	1695.1	ng/ul	1.69	1.76	ssDNA	1.9	9.1	11	300
LM_0266	10/16/2019 1:49:08 PM	1479.1	ng/ul	1.66	1.74	ssDNA	2.2	8.8	11	300
LM_0229	10/16/2019 1:49:39 PM	1615.6	ng/ul	1.68	1.92	ssDNA	2	9	11	300
LM_0235	10/16/2019 1:50:08 PM	1841.4	ng/ul	1.7	1.76	ssDNA	1.8	9.2	11	300
LM_0228	10/16/2019 1:50:37 PM	1568.2	ng/ul	1.68	1.39	ssDNA	2.1	8.9	11	300
LM_0251	10/16/2019 1:51:06 PM	1456.2	ng/ul	1.65	1.88	ssDNA	2.3	8.7	11	300
LM_0238	10/16/2019 1:51:31 PM	1458.9	ng/ul	1.66	1.67	ssDNA	2.3	8.7	11	300
LM_0249	10/16/2019 1:51:55 PM	1528.8	ng/ul	1.67	1.85	ssDNA	2.2	8.8	11	300
LM_0239	10/16/2019 1:52:26 PM	1495.7	ng/ul	1.65	1.6	ssDNA	2.2	8.8	11	300
LM_0254	10/16/2019 1:52:56 PM	1565.9	ng/ul	1.65	1.65	ssDNA	2.1	8.9	11	300
LM_0234	10/16/2019 1:53:22 PM	1670.1	ng/ul	1.67	1.86	ssDNA	2	9	11	300
LM_0243	10/16/2019 1:53:47 PM	1722.1	ng/ul	1.67	1.98	ssDNA	1.9	9.1	11	300
LM_0236	10/16/2019 1:54:17 PM	1679.9	ng/ul	1.68	1.9	ssDNA	2	9	11	300
