Exp_ID,Mouse_ID,dpi,weight,weight_dpi0,faeces_weight,infection_isolate
Pas_0519,9,6,38.71,39.8,12.43,E139
Pas_0519,10,6,,40.71,,E64
Pas_0519,11,6,,39.99,,E88
Pas_0519,12,6,,43.08,,E139
Pas_0519,1,7,,37.99,,Eflab
Pas_0519,2,7,,40.02,,Eflab
Pas_0519,3,7,,40.6,,Eflab
Pas_0519,4,7,,39.33,,E88
Pas_0519,5,7,,37.9,,E88
Pas_0519,11,7,,39.99,,E88
Pas_0519,1,8,,37.99,,Eflab
Pas_0519,2,8,,40.02,,Eflab
Pas_0519,3,8,,40.6,,Eflab
Pas_0519,4,8,,39.33,,E88
Pas_0519,5,8,,37.9,,E88
Pas_0519,11,8,,39.99,,E88
Pas_0519,1,9,,37.99,,Eflab
Pas_0519,2,9,,40.02,,Eflab
Pas_0519,3,9,,40.6,,Eflab
Pas_0519,4,9,,39.33,,E88
Pas_0519,5,9,,37.9,,E88
Pas_0519,11,9,,39.99,,E88
Pas_0519,1,10,,37.99,,Eflab
Pas_0519,2,10,,40.02,,Eflab
Pas_0519,3,10,,40.6,,Eflab
Pas_0519,4,10,,39.33,,E88
Pas_0519,5,10,,37.9,,E88
Pas_0519,11,10,,39.99,,E88
Pas_0519,1,11,,37.99,,Eflab
Pas_0519,2,11,,40.02,,Eflab
Pas_0519,3,11,,40.6,,Eflab
Pas_0519,4,11,,39.33,,E88
Pas_0519,5,11,,37.9,,E88
Pas_0519,11,11,,39.99,,E88
