Sample_ID,labels,DNA_Conc,Unit,A260,A280,260/280,260/230
BNV,,266.2,ng/µl,5.324,2.912,1.83,2.01
BNX,,117,ng/µl,2.341,1.312,1.78,1.5
BOR,,235.1,ng/µl,4.702,2.549,1.84,1.57
BQY,,88,ng/µl,1.759,0.951,1.85,2.08
BQZ,,199.8,ng/µl,3.997,2.195,1.82,1.53
BRZ,,213.3,ng/µl,4.266,2.238,1.91,4.54
BTZ,,83.3,ng/µl,1.665,0.942,1.77,1.42
CDE,,150.6,ng/µl,3.013,1.626,1.85,2.18
CEG,,315.1,ng/µl,6.302,3.499,1.8,1.86
CEH,,51.2,ng/µl,1.024,0.563,1.82,1.68
CEP,,277.6,ng/µl,5.553,3.144,1.77,1.56
CEW,,181.2,ng/µl,3.623,1.975,1.83,1.76
CFG,,94.2,ng/µl,1.885,1.065,1.77,1.19
CFW,,160.5,ng/µl,3.21,1.723,1.86,1.89
CHO,,102.2,ng/µl,2.044,1.121,1.82,1.69
CHR,,261.7,ng/µl,5.235,2.9,1.8,1.97
CIP,,278.5,ng/µl,5.57,3.108,1.79,2.14
CIW,,261.1,ng/µl,5.222,2.872,1.82,1.9
CJQ,,147.7,ng/µl,2.954,1.596,1.85,2.01
CJY,,53.4,ng/µl,1.069,0.591,1.81,1.49
CKN,,238.1,ng/µl,4.761,2.82,1.69,1.11
CKR,,239.2,ng/µl,4.784,2.7,1.77,1.6
CKW,,248.8,ng/µl,4.976,2.768,1.8,1.76
CKZ,,185.1,ng/µl,3.701,2.029,1.82,1.32
CLT,,197.9,ng/µl,3.958,2.142,1.85,2.23
CLV,,209.8,ng/µl,4.197,2.395,1.75,1.39
CLZ,,178.6,ng/µl,3.572,4.234,0.84,0.28
CMU,,18.8,ng/µl,0.376,0.174,2.17,-1.87
CMW,,250.1,ng/µl,5.001,2.78,1.8,1.75
CNP,,192.7,ng/µl,3.853,2.099,1.84,2.07
CNS,,224,ng/µl,4.481,2.583,1.73,1.27
COV,,216,ng/µl,4.319,2.48,1.74,1.4
COW,,305,ng/µl,6.099,3.341,1.83,2.2
CPT,,120,ng/µl,2.4,1.291,1.86,2.46
CQT,,246.6,ng/µl,4.931,2.683,1.84,2.03
CQX,,125.4,ng/µl,2.507,1.394,1.8,0.97
CSX,,144.1,ng/µl,2.883,1.58,1.82,1.26
CTZ,,212.8,ng/µl,4.256,2.374,1.79,1.63
CUX,,220.7,ng/µl,4.413,2.447,1.8,1.9
DEK,,127.7,ng/µl,2.555,1.369,1.87,1.89
DEM,,133.7,ng/µl,2.674,1.437,1.86,1.66
DET,,216.5,ng/µl,4.33,2.482,1.74,1.37
DEW,,63,ng/µl,1.26,0.702,1.79,1.52
DEY,,259.2,ng/µl,5.184,2.803,1.85,2.74
DEZ,,202.8,ng/µl,4.056,2.183,1.86,2.07
DGJ,,284,ng/µl,5.681,3.109,1.83,2.26
DGU,,197.7,ng/µl,3.953,2.149,1.84,2.21
DIN,,167.2,ng/µl,3.344,1.81,1.85,2.28
DIS,,189.3,ng/µl,3.786,2.108,1.8,1.65
DJP,,42.1,ng/µl,0.843,0.451,1.87,1.41
DKZ,,-94.8,ng/µl,-1.897,1.227,-1.55,-1.68
DMO,,202.2,ng/µl,4.043,2.193,1.84,2.1
DMT,,244.2,ng/µl,4.884,2.648,1.84,1.98
DMV,,149.3,ng/µl,2.985,1.674,1.78,1.55
DMX,,250.2,ng/µl,5.005,2.869,1.74,1.44
DMZ,,250.2,ng/µl,5.005,2.869,1.74,1.44
DNX,,120.9,ng/µl,2.419,1.327,1.82,2.02
DOZ,,339.9,ng/µl,6.797,3.834,1.77,1.81
DPT,,294.7,ng/µl,5.893,3.186,1.85,2.24
DPW,,30.1,ng/µl,0.601,0.343,1.75,1.27
DRV,,144.2,ng/µl,2.884,1.481,1.95,7.03
DRY,,117.8,ng/µl,2.357,1.273,1.85,1.54
DSX,,259.5,ng/µl,5.191,2.956,1.76,1.46
DSY,,81.3,ng/µl,1.626,0.862,1.89,3.65
DTY,,200.9,ng/µl,4.019,2.188,1.84,2
DUZ,,162.7,ng/µl,3.254,1.825,1.78,1.34
DXY,,241.9,ng/µl,4.838,2.679,1.81,1.97
EFU,,131.2,ng/µl,2.625,1.482,1.77,1.28
EHN,,126.7,ng/µl,2.534,1.383,1.83,1.94
EHR,,257,ng/µl,5.139,2.782,1.85,2.18
EHS,,163.9,ng/µl,3.279,1.785,1.84,2.04
EHX,,297.6,ng/µl,5.951,3.306,1.8,1.77
EIM,,198.1,ng/µl,3.961,2.171,1.82,1.75
EIP,,180.8,ng/µl,3.615,1.966,1.84,1.64
EIR,,309.9,ng/µl,6.198,3.406,1.82,2.13
EIY,,120.7,ng/µl,2.413,1.332,1.81,1.59
EJM,,211.6,ng/µl,4.232,2.303,1.84,2.44
EJN,,225.9,ng/µl,4.517,2.499,1.81,1.94
EKO,,97.6,ng/µl,1.952,1.067,1.83,1.9
EKR,,37.1,ng/µl,0.742,0.414,1.79,1.41
EKT,,102,ng/µl,2.04,1.086,1.88,1.84
ELN,,-140.3,ng/µl,-2.805,0.757,-3.71,-0.8
EMT,,78.6,ng/µl,1.573,0.85,1.85,1.91
EMV,,144.1,ng/µl,2.881,1.792,1.61,1.2
EMX,,220.7,ng/µl,4.414,2.425,1.82,2.08
ENR,,72.9,ng/µl,1.458,0.792,1.84,1.55
ENX,,221.7,ng/µl,4.434,2.484,1.78,1.3
EOU,,137.8,ng/µl,2.756,1.521,1.81,1.41
EQU,,296.4,ng/µl,5.929,3.244,1.83,1.68
ESV,,209.6,ng/µl,4.193,2.35,1.78,1.62
ETU,,251.9,ng/µl,5.037,2.751,1.83,1.61
ETZ,,200.1,ng/µl,4.002,2.189,1.83,1.42
EUW,,149.1,ng/µl,2.982,1.604,1.86,1.23
FIY,,72.9,ng/µl,1.457,0.811,1.8,1.38
FJK,,182.6,ng/µl,3.652,1.993,1.83,2.11
FJO,,373.8,ng/µl,7.477,4.291,1.74,1.48
FJQ,,126.3,ng/µl,2.526,1.393,1.81,1.78
FKM,,122.7,ng/µl,2.454,1.332,1.84,1.5
FKS,,125.2,ng/µl,2.505,1.364,1.84,1.91
FKW,,34.1,ng/µl,0.682,0.389,1.76,0.92
FLQ,,164.4,ng/µl,3.288,1.778,1.85,0.98
FLV,,52.2,ng/µl,1.043,0.6,1.74,1.11
FOQ,,216.4,ng/µl,4.327,2.398,1.8,1.75
FOT,,251.3,ng/µl,5.026,2.912,1.73,1.87
FPV,,262.8,ng/µl,5.255,2.909,1.81,1.75
FPY,,262.8,ng/µl,5.255,2.909,1.81,1.75
FQV,,40.9,ng/µl,0.819,0.464,1.76,0.74
FRW,,115,ng/µl,2.3,1.25,1.84,2.11
FSW,,82.6,ng/µl,1.652,0.88,1.88,2.13
FTX,,265.8,ng/µl,5.315,2.906,1.83,2.09
FUY,,340.8,ng/µl,6.817,3.714,1.84,1.93
GHL,,147,ng/µl,2.94,1.622,1.81,1.92
GHU,,277.4,ng/µl,5.547,3.02,1.84,2.14
GIR,,81.6,ng/µl,1.632,0.904,1.81,1.53
GLM,,81.2,ng/µl,1.625,0.906,1.79,1.41
GLV,,232.8,ng/µl,4.657,2.575,1.81,1.92
GMQ,,171.3,ng/µl,3.426,1.857,1.84,2.04
GMY,,224.3,ng/µl,4.486,2.559,1.75,1.44
GNZ,,157.9,ng/µl,3.157,1.722,1.83,1.69
GRV,,197.4,ng/µl,3.948,2.158,1.83,1.29
GSZ,,70.1,ng/µl,1.401,0.991,1.41,0.51
GTY,,198.2,ng/µl,3.965,2.19,1.81,2.13
GUX,,243.4,ng/µl,4.869,2.751,1.77,1.58
HIO,,32.5,ng/µl,0.65,0.358,1.82,1.49
HIS,,139.5,ng/µl,2.789,1.578,1.77,1.4
HJK,,231.4,ng/µl,4.628,2.526,1.83,2.22
HJL,,122.4,ng/µl,2.449,1.355,1.81,1.18
HJM,,93,ng/µl,1.859,1.053,1.77,1.43
HJR,,135.3,ng/µl,2.706,1.518,1.78,1.34
HJT,,155.6,ng/µl,3.112,1.7,1.83,1.35
HJV,,162,ng/µl,3.24,1.797,1.8,1.49
HJW,,250.9,ng/µl,5.018,2.731,1.84,1.91
HJX,,231,ng/µl,4.62,2.508,1.84,2.18
HJZ,,84.4,ng/µl,1.687,0.896,1.88,3.63
HKT,,51,ng/µl,1.019,2.846,0.36,0.3
HKV,,108.8,ng/µl,2.176,1.18,1.84,1.89
HLY,,141.8,ng/µl,2.835,1.589,1.78,1.45
HLZ,,177.3,ng/µl,3.547,1.951,1.82,1.73
HMU,,180.7,ng/µl,3.614,1.958,1.85,1.91
HNX,,168.6,ng/µl,3.373,1.836,1.84,1.96
HOP,,64.6,ng/µl,1.292,0.691,1.87,1.24
HOX,,226.3,ng/µl,4.527,2.459,1.84,2.04
HOY,,92.8,ng/µl,1.855,1.075,1.73,0.35
HPY,,230.6,ng/µl,4.612,2.469,1.87,2.66
HQT,,268.4,ng/µl,5.367,2.94,1.83,2.08
HQZ,,208.9,ng/µl,4.177,2.336,1.79,1.51
HSZ,,262.6,ng/µl,5.252,2.943,1.78,1.68
HTZ,,201.6,ng/µl,4.032,2.204,1.83,1.94
IJQ,,204.6,ng/µl,4.093,2.292,1.79,1.61
IJR,,250.3,ng/µl,5.005,2.722,1.84,2.07
IJS,,186.7,ng/µl,3.734,2.035,1.84,2.19
IJT,,302.2,ng/µl,6.043,3.322,1.82,1.94
IJY,,344.3,ng/µl,6.887,3.738,1.84,2.14
IKO,,279.1,ng/µl,5.582,3.149,1.77,1.67
IKS,,284.1,ng/µl,5.683,3.092,1.84,2.14
IKZ,,119,ng/µl,2.379,1.284,1.85,2.16
IMQ,,136.2,ng/µl,2.724,1.477,1.84,1.8
IMY,,320.2,ng/µl,6.405,3.536,1.81,2.02
INR,,196.9,ng/µl,3.937,2.169,1.82,1.8
INV,,176.1,ng/µl,3.522,1.923,1.83,1.76
IOX,,199.1,ng/µl,3.982,2.178,1.83,1.61
IOY,,210,ng/µl,4.199,2.328,1.8,1.69
IPT,,106.4,ng/µl,2.127,1.171,1.82,1.34
IPY,,200.5,ng/µl,4.01,2.257,1.78,1.5
IQU,,280.8,ng/µl,5.616,3.059,1.84,2.16
ISW,,83.6,ng/µl,1.673,0.901,1.86,1.94
JKL,,15.8,ng/µl,0.316,0.193,1.64,0.66
JKZ,,239.3,ng/µl,4.785,2.595,1.84,2.5
JLN,,161.5,ng/µl,3.229,1.745,1.85,1.3
JLQ,,98.4,ng/µl,1.968,1.052,1.87,1.28
JLY,,176.1,ng/µl,3.522,1.923,1.83,1.76
JMP,,211.6,ng/µl,4.231,2.389,1.77,1.49
JMQ,,292.6,ng/µl,5.853,3.371,1.74,2.09
JMY,,185.6,ng/µl,3.711,2.058,1.8,1.87
JNS,,174.6,ng/µl,3.493,1.944,1.8,1.71
JOS,,230.2,ng/µl,4.603,2.548,1.81,1.79
JOV,,49.6,ng/µl,0.993,0.531,1.87,0.67
JPV,,178.6,ng/µl,3.572,1.925,1.86,2.15
JPY,,41.4,ng/µl,0.828,0.464,1.79,1.33
JRS,,134.2,ng/µl,2.685,1.471,1.83,1.93
JSW,,237.8,ng/µl,4.757,2.605,1.83,2.02
JVX,,141.4,ng/µl,2.828,1.375,2.06,-3.37
JVY,,131.2,ng/µl,2.623,1.415,1.85,2.09
JWY,,188.4,ng/µl,3.767,2.062,1.83,1.9
KMS,,325.2,ng/µl,6.503,3.755,1.73,2
KMX,,109.2,ng/µl,2.184,1.21,1.81,0.75
KNT,,262.8,ng/µl,5.256,2.873,1.83,2.24
KNU,,66.1,ng/µl,1.321,0.713,1.85,1.92
KNX,,257.1,ng/µl,5.141,2.865,1.79,1.72
KOU,,73.7,ng/µl,1.475,0.82,1.8,1.6
KOX,,85.3,ng/µl,1.706,0.976,1.75,0.96
KPV,,149.9,ng/µl,2.997,1.638,1.83,2.01
KQZ,,151.3,ng/µl,3.026,1.666,1.82,1.6
KUX,,85.3,ng/µl,1.706,0.976,1.75,0.96
KUY,,207.2,ng/µl,4.144,2.251,1.84,2.15
KWY,,119.6,ng/µl,2.392,1.288,1.86,1.95
LMD,,14.9,ng/µl,0.297,0.155,1.91,1.09
LMW,,341.7,ng/µl,6.833,3.702,1.85,2.15
LNU,,228.2,ng/µl,4.564,2.558,1.78,1.61
LPU,,50.7,ng/µl,1.014,0.586,1.73,1.1
LQX,,150.3,ng/µl,3.006,1.641,1.83,1.9
LRS,,173.4,ng/µl,3.467,1.914,1.81,0.23
LRX,,184.9,ng/µl,3.698,2.01,1.84,2.08
LRZ,,118.2,ng/µl,2.364,1.329,1.78,1.43
LSU,,124.7,ng/µl,2.495,1.358,1.84,2.12
LSZ,,349.4,ng/µl,6.989,3.858,1.81,2.13
LTU,,355.5,ng/µl,7.109,3.996,1.78,1.74
LUW,,277.8,ng/µl,5.556,3.089,1.8,1.73
LXZ,,274.3,ng/µl,5.485,3.007,1.82,1.87
LYZ,,296.2,ng/µl,5.925,3.328,1.78,1.77
MNR,,189.4,ng/µl,3.787,2.237,1.69,0.52
MNT,,153.4,ng/µl,3.069,1.675,1.83,1.87
MNW,,181.7,ng/µl,3.634,2.008,1.81,1.8
MOV,,212.9,ng/µl,4.259,2.381,1.79,1.75
MQT,,354.7,ng/µl,7.094,3.995,1.78,1.26
MRT,,48.6,ng/µl,0.973,0.514,1.89,1.59
MTY,,307.9,ng/µl,6.158,3.403,1.81,1.82
MWY,,157.4,ng/µl,3.148,1.712,1.84,1.82
NQY,,119.8,ng/µl,2.397,1.305,1.84,1.19
NRW,,23.7,ng/µl,0.475,0.278,1.71,0.55
NSZ,,243.3,ng/µl,4.865,2.724,1.79,1.69
NWZ,,95.7,ng/µl,1.914,1.043,1.83,2.05
OPQ,,225.9,ng/µl,4.517,2.487,1.82,1.65
OPV,,149.4,ng/µl,2.988,1.574,1.9,3.54
OPY,,156.8,ng/µl,3.136,1.697,1.85,2.11
OPZ,,225.9,ng/µl,4.517,2.487,1.82,1.65
OQY,,234.4,ng/µl,4.688,2.605,1.8,1.44
ORU,,50.9,ng/µl,1.017,0.587,1.73,1.16
OTV,,42.3,ng/µl,0.845,0.464,1.82,1.39
OVY,,90.6,ng/µl,1.812,0.983,1.84,0.54
OWX,,130,ng/µl,2.6,1.547,1.68,0.97
POV,,339.9,ng/µl,6.797,3.834,1.77,1.81
PRS,,203.8,ng/µl,4.076,2.181,1.87,2.74
PSY,,259.2,ng/µl,5.184,3.021,1.72,1.47
PTU,,157.9,ng/µl,3.157,1.655,1.91,2.3
PTV,,196.5,ng/µl,3.93,2.159,1.82,1.79
PWY,,88.9,ng/µl,1.779,1.019,1.75,0.97
QRS,,225.4,ng/µl,4.509,2.438,1.85,2.73
QRU,,139.7,ng/µl,2.795,1.523,1.83,1.73
QSY,,20.3,ng/µl,0.407,0.197,2.07,1.54
QVY,,168.4,ng/µl,3.368,1.835,1.84,1.18
QVZ,,226.4,ng/µl,4.528,2.448,1.85,2.42
RSW,,246.2,ng/µl,4.925,2.755,1.79,1.73
RSZ,,202.7,ng/µl,4.055,2.321,1.75,1.41
RTV,,146.4,ng/µl,2.929,1.643,1.78,1.4
RUV,,285.4,ng/µl,5.708,3.155,1.81,1.89
RVX,,33.9,ng/µl,0.677,0.39,1.74,1.05
RWY,,98.8,ng/µl,1.977,1.079,1.83,1.85
RXS,,254.1,ng/µl,5.082,2.867,1.77,1.42
RXZ,,254.1,ng/µl,5.082,2.867,1.77,1.42
SUW,,41.1,ng/µl,0.822,0.45,1.83,1.58
SUX,,294.7,ng/µl,5.894,3.476,1.7,1.06
SUZ,,220.2,ng/µl,4.403,2.557,1.72,1.72
SYZ,,248.9,ng/µl,4.979,2.712,1.84,2.25
TUY,,100.3,ng/µl,2.005,1.096,1.83,1.86
TWY,,314.9,ng/µl,6.299,3.502,1.8,1.87
TXY,,112.9,ng/µl,2.257,1.26,1.79,1.67
TXZ,,218.2,ng/µl,4.363,2.387,1.83,1.81
UVY,,30.8,ng/µl,0.617,0.34,1.81,0.96
UWY,,178.3,ng/µl,3.566,1.953,1.83,1.31
VWX,,140.5,ng/µl,2.81,1.5,1.87,2.45
VXY,,-102.8,ng/µl,-2.055,1.153,-1.78,-0.41
