"Pos","Name","Ct SYBR","Ct Mean SYBR","Ct Dev. SYBR","Amount SYBR","Target SYBR"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",242
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay IRG6","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",136
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay IL-12","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",295
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay GAPDH","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",142
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay B-actin","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",136
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"
