Well,Fluor,Target,Sample,EH_ID,
C03,SYBR,IL-12,Unkn,37,None
C07,SYBR,TGF-b,Unkn,37,None
D03,SYBR,IL-12,Unkn,37,None
E03,SYBR,IL-12,Unkn,38,80
E09,SYBR,Ppip,Pos Ctrl,38,None
F09,SYBR,Ppip,Pos Ctrl,38,81.5
B10,SYBR,CDC42,Pos Ctrl,40,None
C05,SYBR,IFN-g,Unkn,41,None
C11,SYBR,,Neg Ctrl,41,None
D02,SYBR,IL-10,Unkn,41,None
E11,SYBR,,Neg Ctrl,43,None
F11,SYBR,,Neg Ctrl,43,None
G03,SYBR,IL-12,Unkn,46,79.5
H03,SYBR,IL-12,Unkn,46,79.5
H06,SYBR,STAT6,Unkn,46,81.5
H11,SYBR,,Neg Ctrl,46,None
A01,SYBR,CXCL9,Unkn,42,None
A02,SYBR,IL-10,Unkn,42,None
A10,SYBR,CDC42,Pos Ctrl,42,None
B01,SYBR,CXCL9,Unkn,42,None
B02,SYBR,IL-10,Unkn,42,None
B03,SYBR,IL-12,Unkn,42,None
B04,SYBR,IL-6,Unkn,42,None
B06,SYBR,STAT6,Unkn,42,None
B08,SYBR,Ppia,Unkn,42,None
B10,SYBR,CDC42,Pos Ctrl,42,None
C02,SYBR,IL-10,Unkn,44,None
C03,SYBR,IL-12,Unkn,44,None
D03,SYBR,IL-12,Unkn,44,None
D05,SYBR,IFN-g,Unkn,44,None
H01,SYBR,CXCL9,Unkn,50,None
H09,SYBR,Ppib,Pos Ctrl,50,None
A01,SYBR,CXCL9,Unkn,51,None
A03,SYBR,IL-12,Unkn,51,None
A06,SYBR,STAT6,Unkn,51,None
A10,SYBR,CDC42,Pos Ctrl,51,None
B05,SYBR,IFN-g,Unkn,51,79.5
B10,SYBR,CDC42,Pos Ctrl,51,None
E03,SYBR,IL-12,Unkn,56,None
E05,SYBR,IFN-g,Unkn,56,None
E09,SYBR,Ppib,Pos Ctrl,56,81.5
F02,SYBR,IL-10,Unkn,56,None
F03,SYBR,IL-12,Unkn,56,None
F05,SYBR,IFN-g,Unkn,56,85.5
F09,SYBR,Ppib,Pos Ctrl,56,81.5
G03,SYBR,IL-12,Unkn,58,None
H03,SYBR,IL-12,Unkn,58,None
A01,SYBR,CXCL9,Unkn,59,None
A10,SYBR,CDC42,Pos Ctrl,59,None
B10,SYBR,CDC42,Pos Ctrl,59,None
C10,SYBR,CDC42,Pos Ctrl,60,None
D03,SYBR,IL-12,Unkn,60,None
D10,SYBR,CDC42,Pos Ctrl,60,None
E02,SYBR,IL-10,Unkn,61,None
E03,SYBR,IL-12,Unkn,61,None
E05,SYBR,IFN-g,Unkn,61,None
E07,SYBR,TGF-b,Unkn,61,None
F02,SYBR,IL-10,Unkn,61,None
F03,SYBR,IL-12,Unkn,61,None
F05,SYBR,IFN-g,Unkn,61,None
G02,SYBR,IL-10,Unkn,62,None
H01,SYBR,CXCL9,Unkn,62,None
H03,SYBR,IL-12,Unkn,62,None
C11,SYBR,,Neg Ctrl,64,None
D11,SYBR,,Neg Ctrl,64,None
F03,SYBR,IL-12,Unkn,65,78.5
G11,SYBR,,Neg Ctrl,66,None
H11,SYBR,,Neg Ctrl,66,None
