,,,,,,,,,,,,,
,Sample,% CD4+,% Foxp3+ in CD4+ (Treg),% Ki-67+ in Foxp3+ (dividing Treg),% RORgt+ in Foxp3+ Treg,"FSC-A, SSC-A subset/single/live/CD4+/Foxp3-,Freq. of Parent",% T-bet+ in CD4+Foxp3- (Th1),% Ki-67+ in CD4+Foxp3-T-bet+ (dividing Th1),% RORgt+ in CD4+Foxp3- (Th17),% RORgt+ in CD4+Foxp3-RORgt+ (dividing Th17),% CD8+,% T-bet+ in CD8+ (activated CD8+),% Ki-67+ in CD8+T-bet+ (dividing activated CD8+)
,17: Anterior LN_84_032.fcs,53.27,5.36,25.43,6.24,94.55,2.86,52.51,0.61,19.33,25.66,4.73,48.61
,18: Anterior LN_85_033.fcs,46.89,9.64,33.44,5.4,90.26,3.19,73.74,0.73,39.39,28.72,5.3,51.49
,19: Anterior LN_86_045.fcs,56.3,8.25,9.79,4.3,91.28,1.89,15.6,0.67,24,35.15,8.33,8.24
,20: Anterior LN_87_034.fcs,49.96,8.7,23.7,5.62,91.16,4.38,67.68,1.24,50.27,34.84,12.23,33.14
,21: Anterior LN_88_047.fcs,55.69,6.73,14.48,5.56,93.06,1.67,30.28,0.56,22.93,32.41,3.88,14.39
,22: Anterior LN_89_048.fcs,69.68,2.68,19.81,13.05,97.22,1.93,16.85,0.82,11.11,14.66,3.88,7.22
,23: Anterior LN_91_035.fcs,38.87,8.89,28.8,8.8,90.9,9,67.83,1.17,46.67,34.45,29.45,39.24
,24: Anterior LN_92_044.fcs,56.09,6.42,17.16,8.35,93.5,1.66,27.81,0.86,29.38,27,5.46,13.45
,25: Anterior LN_93_051.fcs,54.62,7.13,18.74,8.88,92.81,1.24,34.13,1.03,15.37,17.48,11.1,7.59
,26: Anterior LN_94_038.fcs,48.15,10.95,29.45,4.72,88.9,3.94,49.24,0.56,34.26,29.76,8.75,54.46
,27: Posterior LN_60_001.fcs,48.01,6.61,48.35,14.52,93.34,8.53,66.93,1.3,42.22,12.42,11.66,53.98
,28: Posterior LN_62_002.fcs,27.35,46.07,41.47,8.73,53.76,6.37,63.87,1.6,47.73,33.78,19.62,31.44
,29: Posterior LN_63_003.fcs,53.4,5.06,33.4,11.24,94.88,4.56,66.92,2.04,26.45,18.28,13.43,31.64
,30: Posterior LN_65_004.fcs,45.96,6.23,43.92,24.3,93.69,4.34,80.46,0.81,43.02,26.25,9.96,38.68
,31: Posterior LN_69_011.fcs,51.02,5.34,38.95,22.26,94.6,7.82,44.7,1.09,22.55,7.46,24.61,50.36
,32: Posterior LN_70_005.fcs,44.14,8.44,62.16,17.85,91.51,6.98,60.92,0.99,29.14,12.6,10.21,54.02
,33: Posterior LN_72_015.fcs,54.41,7.48,23.21,20.59,92.46,1.45,32.84,1.54,13.95,12.83,5.39,18.25
,34: Posterior LN_73_024.fcs,47.44,5.79,45.41,27.97,94.13,2.65,24.66,0.87,34.44,19.68,3.3,13.72
,35: Posterior LN_75_016.fcs,51.28,10.69,18.11,10.23,89.12,2.96,33.66,1.79,22.67,29.09,20.21,23.76
,36: Posterior LN_76_014.fcs,33.8,6.28,44.41,14.88,93.66,2.68,32.59,1.01,36.25,5.21,7.93,22.09
,37: Posterior LN_77_021.fcs,55.3,4.96,18.26,17.5,94.93,0.83,33.67,0.75,13.06,21.94,4.28,11.18
,38: Posterior LN_78_025.fcs,56.11,5.45,24.93,10.25,94.48,1.44,27.99,0.58,19.17,28.29,5.59,6.77
,39: Posterior LN_79_006.fcs,46.36,15.52,55.31,17,84.39,7.67,87.12,2.17,73.12,20.09,24.26,35.29
,40: Posterior LN_80_012.fcs,58.8,5.19,51.35,23.41,94.71,7.99,52.81,2.81,27.39,19.95,11.8,49.16
,41: Posterior LN_82_017.fcs,51.64,4.61,30.46,13.21,95.33,3.52,17.8,2.33,12.88,11.9,6.42,19.13
,42: Posterior LN_83_018.fcs,56.83,8.21,18.63,7.25,91.61,0.89,25.43,0.59,30.52,31.19,6.88,10.75
,43: Posterior LN_84_007.fcs,43.49,8.57,48.12,12.54,91.36,5.4,69.2,0.75,36.09,23.02,10.09,44.73
,44: Posterior LN_85_008.fcs,46.5,8.98,36.55,7.26,90.92,2.43,78.79,0.54,53.99,29,9.62,35.91
,45: Posterior LN_86_020.fcs,60.04,5.94,16.02,6.35,93.96,0.77,29.6,0.59,22.11,31.51,9.49,5.59
,46: Posterior LN_87_009.fcs,51.64,10.91,46.77,10.84,88.93,6.58,84.69,1.62,67.81,34.33,17.84,37.27
,47: Posterior LN_88_022.fcs,59.54,4.31,12.96,5.84,95.58,0.8,28.42,0.62,18.89,32.65,11.28,5.53
,48: Posterior LN_89_023.fcs,65.83,3.81,25.74,21.03,96.07,1.74,13.66,1.34,13.33,15.33,6.44,5.91
,49: Posterior LN_91_010.fcs,45.3,10.79,46.9,7.9,89.09,6.14,74.45,0.84,35.54,27.5,26.16,37.56
,50: Posterior LN_92_019.fcs,53.33,7.58,17.98,10.01,92.29,0.97,25.14,0.99,22.25,26.89,13.87,7.81
,51: Posterior LN_94_013.fcs,48.1,10.24,38.51,6.57,89.63,4.4,68.17,0.48,43.87,26.29,17.22,44.84
,Mean,51.37,7.8,29.3,10.58,92.08,3.6,45.35,1.02,30.58,22.36,10.15,28.27
,StdDev,7.83,6.15,12.97,5.97,6.17,2.27,21.07,0.55,15.13,8.64,6.82,16.04
