Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir,Gen,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen,Wean,BW10,BW20,Clip,Departure,,NOTE
Buskovice,mus,BUSNA,SY,6613,61,BUSNA,SY,6611,61,15/1/18,1,4,1,3,SY,8210,F,62,1F,3.78,5.41,L4,04/20/2018,isolation 7.3.18,
Buskovice,mus,BUSNA,SY,6613,61,BUSNA,SY,6611,61,15/1/18,1,4,1,3,SY,8211,F,62,1F,3.78,3.59,P2,04/20/2018,isolation 7.3.18,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,6/3/18,6,6,2,3,SY,9618,F,60,1F,4.98,9.33,L4,04/20/2018,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,03/06/2018,6,6,2,3,SY,9619,F,60,1F,4.89,8.85,P2,04/20/2018,isolation 7.3.18,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,03/06/2018,6,6,2,3,SY,9620,F,60,1F,5.50,9.36,P3,04/20/2018,isolation 7.3.18,
,,,,,,,,,,,,,,,,,,,,,,,,,
Prague,mus,PWD,SY,7043,43,PWD,SY,7039,43,02/06/2018,1,9,6,3,SY,8429,M,44,1M,3.56,4.52,L3,04/20/2018,,
Prague,mus,PWD,SY,7043,43,PWD,SY,7039,43,02/06/2018,1,9,6,3,SY,8430,M,44,1M,3.37,4.59,L4,04/20/2018,,
Prague,mus,PWD,SY,7043,43,PWD,SY,7039,43,02/06/2018,1,9,6,3,SY,8431,M,44,1M,3.38,4.50,L5,04/20/2018,,
Prague,mus,PWD,SY,4994,41,PWD,SY,4990,41,02/08/2018,4,5,2,0,SY,8487,M,42,1M,3.31,5.12,L2,04/20/2018,,
Prague,mus,PWD,SY,5675,42,PWD,SY,5674,42,02/10/2018,2,6,3,1,SY,8505,M,43,1M,3.61,5.04,P2,04/20/2018,,was SY male 8595
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,02/10/2018,1,6,2,4,SY,8510,M,43,1M,2.89,4.16,L2,04/20/2018,isolation 12. 3. 18,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,02/10/2018,1,6,2,4,SY,8511,M,43,1M,2.60,3.72,L3,04/20/2018,isolation 12. 3. 18,
Prague,mus,PWD,SY,2696,41,PWD,SY,2991,41,12/04/2017,3,4,2,2,SY,7075,F,42,1F,4.31,5.63,P2,04/20/2018,,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,02/10/2018,1,6,2,4,SY,8512,F,43,1F,2.75,4.12,L4,04/20/2018,isolation 12. 3. 18,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,02/10/2018,1,6,2,4,SY,8513,F,43,1F,2.74,4.32,L5,04/20/2018,isolation 12. 3. 18,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,02/10/2018,1,6,2,4,SY,8514,F,43,1F,2.80,4.35,P2,04/20/2018,isolation 12. 3. 18,
Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,02/10/2018,1,6,2,4,SY,8515,F,43,1F,2.52,3.83,P3,04/20/2018,isolation 12. 3. 18,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,01/19/2018,2,9,5,3,SY,8943,F,43,1F,4.07,5.23,P2,04/20/2018,isolation 7.3.18,
Prague,mus,PWD,SY,5343,42,PWD,SY,5340,42,01/19/2018,2,9,5,3,SY,8944,F,43,1F,3.94,5.18,P3,04/20/2018,isolation 7.3.18,
