,EH_ID,Strain,HybridStatus,InfectionStrain,labels,dpi,weight,weight_dpi0,Wchange,fecweight,batch
73,LM0236,STRA_STRA,parental strains,E88,TXZ,1,23.35,26.25,88.95,1.7,october2018
74,LM0236,STRA_STRA,parental strains,E88,FRU,8,27.05,26.25,103.05,2.33,october2018
75,LM0236,STRA_STRA,parental strains,E88,NRU,7,28.03,26.25,106.78,1.42,october2018
76,LM0236,STRA_STRA,parental strains,E88,BHI,4,26.94,26.25,102.63,2.32,october2018
77,LM0236,STRA_STRA,parental strains,E88,PRV,2,26.92,26.25,102.55,1.15,october2018
78,LM0236,STRA_STRA,parental strains,E88,AGN,0,26.25,26.25,0,1.21,october2018
79,LM0236,STRA_STRA,parental strains,E88,ADG,3,27.45,26.25,104.57,2.11,october2018
80,LM0236,STRA_STRA,parental strains,E88,EQV,5,25.72,26.25,97.98,1.96,october2018
81,LM0236,STRA_STRA,parental strains,E88,HKN,6,27.05,26.25,103.05,1.4,october2018
82,LM0238,PWD_BUSNA,outbred hybrids,E88,GIQ,1,21.56,21.39,100.79,1.58,october2018
83,LM0238,PWD_BUSNA,outbred hybrids,E88,LYZ,8,20.41,21.39,95.42,1.38,october2018
84,LM0238,PWD_BUSNA,outbred hybrids,E88,NOY,7,20.09,21.39,93.92,0.79,october2018
85,LM0238,PWD_BUSNA,outbred hybrids,E88,INU,4,21.13,21.39,98.78,1.32,october2018
86,LM0238,PWD_BUSNA,outbred hybrids,E88,GMW,2,22.14,21.39,103.51,1.36,october2018
87,LM0238,PWD_BUSNA,outbred hybrids,E88,ILM,0,27.39,27.39,0,3.28,october2018
88,LM0238,PWD_BUSNA,outbred hybrids,E88,KUZ,3,21.42,21.39,100.14,1.46,october2018
89,LM0238,PWD_BUSNA,outbred hybrids,E88,KST,5,20.84,21.39,97.43,0.82,october2018
90,LM0238,PWD_BUSNA,outbred hybrids,E88,EWY,6,20.47,21.39,95.7,0.47,october2018
91,LM0239,SCHUNT_SCHUNT,parental strains,E88,GVW,1,19.84,19.41,102.22,1.82,october2018
92,LM0239,SCHUNT_SCHUNT,parental strains,E88,JMR,8,18.47,19.41,95.16,2.87,october2018
93,LM0239,SCHUNT_SCHUNT,parental strains,E88,LOT,7,19.04,19.41,98.09,1.84,october2018
94,LM0239,SCHUNT_SCHUNT,parental strains,E88,KMO,4,19.28,19.41,99.33,3.74,october2018
95,LM0239,SCHUNT_SCHUNT,parental strains,E88,HPY,2,19.56,19.41,100.77,1.14,october2018
96,LM0239,SCHUNT_SCHUNT,parental strains,E88,EIQ,0,19.41,19.41,0,1.94,october2018
97,LM0239,SCHUNT_SCHUNT,parental strains,E88,EFQ,3,19.33,19.41,99.59,1.99,october2018
98,LM0239,SCHUNT_SCHUNT,parental strains,E88,MOX,5,19.6,19.41,100.98,2.81,october2018
99,LM0239,SCHUNT_SCHUNT,parental strains,E88,IQW,6,18.8,19.41,96.86,3.15,october2018
100,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,KMQ,4,21.14,20.45,103.37,2.41,october2018
101,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,CIW,8,20.45,20.45,100,1.39,october2018
102,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,ACZ,2,21.09,20.45,103.13,1.56,october2018
103,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,BDI,1,20.89,20.45,102.15,2.3,october2018
104,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,MQW,5,21.48,20.45,105.04,1.53,october2018
105,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,HKW,0,20.45,20.45,0,1.03,october2018
106,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,AVW,7,22.16,20.45,108.36,1.04,october2018
107,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,EKX,3,21.24,20.45,103.86,1.6,october2018
108,LM0240,SCHUNT_PWD,inter subsp. hybrids,E88,JKX,6,21.6,20.45,105.62,1.89,october2018
109,LM0247,STRA_SCHUNT,outbred hybrids,E88,JMX,8,25.93,27.13,95.58,7.14,october2018
110,LM0247,STRA_SCHUNT,outbred hybrids,E88,FHS,2,26.45,27.13,97.49,1.73,october2018
111,LM0247,STRA_SCHUNT,outbred hybrids,E88,HOY,1,26.69,27.13,98.38,3.74,october2018
112,LM0247,STRA_SCHUNT,outbred hybrids,E88,FPV,7,26.75,27.13,98.6,2.88,october2018
113,LM0247,STRA_SCHUNT,outbred hybrids,E88,GOV,4,26.54,27.13,97.83,3.97,october2018
114,LM0247,STRA_SCHUNT,outbred hybrids,E88,CGT,5,26.78,27.13,98.71,2.86,october2018
115,LM0247,STRA_SCHUNT,outbred hybrids,E88,BVZ,0,27.13,27.13,0,3.22,october2018
116,LM0247,STRA_SCHUNT,outbred hybrids,E88,BKM,3,26.04,27.13,95.98,2.77,october2018
117,LM0247,STRA_SCHUNT,outbred hybrids,E88,ABO,6,26.18,27.13,96.5,2.61,october2018
118,LM0248,STRA_SCHUNT,outbred hybrids,E88,FJR,2,22.28,23.46,94.97,1,october2018
119,LM0248,STRA_SCHUNT,outbred hybrids,E88,QTX,3,22.06,23.46,94.03,1.57,october2018
120,LM0248,STRA_SCHUNT,outbred hybrids,E88,AFY,0,23.46,23.46,0,0.67,october2018
121,LM0248,STRA_SCHUNT,outbred hybrids,E88,AFN,1,23.14,23.46,98.64,0.92,october2018
122,LM0248,STRA_SCHUNT,outbred hybrids,E88,AQW,4,21.73,23.46,92.63,2.33,october2018
123,LM0248,STRA_SCHUNT,outbred hybrids,E88,KOX,7,21.72,23.46,92.58,1.32,october2018
124,LM0248,STRA_SCHUNT,outbred hybrids,E88,APS,8,20.58,23.46,87.72,2.5,october2018
125,LM0248,STRA_SCHUNT,outbred hybrids,E88,AMX,5,22.23,23.46,94.76,2.06,october2018
126,LM0248,STRA_SCHUNT,outbred hybrids,E88,FQX,6,20.95,23.46,89.3,1.74,october2018
127,LM0249,SCHUNT_STRA,outbred hybrids,E88,FMR,2,26.2,26.1,100.38,1.15,october2018
128,LM0249,SCHUNT_STRA,outbred hybrids,E88,GWZ,5,24.36,26.1,93.33,1.7,october2018
129,LM0249,SCHUNT_STRA,outbred hybrids,E88,PSV,8,24.4,26.1,93.49,2.71,october2018
130,LM0249,SCHUNT_STRA,outbred hybrids,E88,LNU,3,25.92,26.1,99.31,1.86,october2018
131,LM0249,SCHUNT_STRA,outbred hybrids,E88,MPU,4,25.53,26.1,97.82,3.25,october2018
132,LM0249,SCHUNT_STRA,outbred hybrids,E88,IMU,1,26.09,26.1,99.96,1.62,october2018
133,LM0249,SCHUNT_STRA,outbred hybrids,E88,CLV,7,24.55,26.1,94.06,1.12,october2018
134,LM0249,SCHUNT_STRA,outbred hybrids,E88,ANV,6,23.77,26.1,91.07,1.3,october2018
135,LM0249,SCHUNT_STRA,outbred hybrids,E88,ASZ,0,26.1,26.1,0,0.74,october2018
136,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,DOT,2,21.89,23.16,94.52,1.18,october2018
137,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,ADV,5,23.42,23.16,101.12,1.34,october2018
138,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,KNZ,1,21.85,23.16,94.34,0.93,october2018
139,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,EOT,8,21.84,23.16,94.3,1.32,october2018
140,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,GLO,3,22.36,23.16,96.55,1.98,october2018
141,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,MRZ,7,22.66,23.16,97.84,1.12,october2018
142,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,LNT,6,23.09,23.16,99.7,1.06,october2018
143,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,GSZ,0,23.16,23.16,0,0.69,october2018
144,LM0251,STRA_BUSNA,inter subsp. hybrids,E88,AMS,4,23.05,23.16,99.53,2.01,october2018
145,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,BQR,2,22.48,22.32,100.72,2.33,october2018
146,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,CHI,3,22.35,22.32,100.13,2.15,october2018
147,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,JRW,5,22.55,22.32,101.03,2.61,october2018
148,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,BCD,8,21.04,22.32,94.27,3.97,october2018
149,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,DVW,6,22.26,22.32,99.73,2.39,october2018
150,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,DMP,4,22.36,22.32,100.18,3.93,october2018
151,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,IUV,1,22.54,22.32,100.99,2.5,october2018
152,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,BCP,0,22.32,22.32,0,3.26,october2018
153,LM0254,SCHUNT_PWD,inter subsp. hybrids,E88,LRS,7,22.75,22.32,101.93,1.71,october2018
154,LM0255,BUSNA_BUSNA,parental strains,E88,FGM,2,18.58,18.26,101.75,0.96,october2018
155,LM0255,BUSNA_BUSNA,parental strains,E88,DFU,3,17.98,18.26,98.47,1.49,october2018
156,LM0255,BUSNA_BUSNA,parental strains,E88,BWZ,5,17.24,18.26,94.41,0.68,october2018
157,LM0255,BUSNA_BUSNA,parental strains,E88,MOR,8,16.99,18.26,93.04,1.41,october2018
158,LM0255,BUSNA_BUSNA,parental strains,E88,GOW,6,17.35,18.26,95.02,0.86,october2018
159,LM0255,BUSNA_BUSNA,parental strains,E88,CHX,4,17.69,18.26,96.88,1.74,october2018
160,LM0255,BUSNA_BUSNA,parental strains,E88,AIR,1,18.44,18.26,100.99,1.41,october2018
161,LM0255,BUSNA_BUSNA,parental strains,E88,DPW,0,18.26,18.26,0,1.07,october2018
162,LM0255,BUSNA_BUSNA,parental strains,E88,NPY,7,17.55,18.26,96.11,1.28,october2018
163,LM0256,STRA_STRA,parental strains,E88,BSU,2,29.91,29.15,102.61,1.12,october2018
164,LM0256,STRA_STRA,parental strains,E88,KNQ,3,30.92,29.15,106.07,1.93,october2018
165,LM0256,STRA_STRA,parental strains,E88,AOX,5,30.71,29.15,105.35,2.27,october2018
166,LM0256,STRA_STRA,parental strains,E88,JVZ,8,29.82,29.15,102.3,2.16,october2018
167,LM0256,STRA_STRA,parental strains,E88,KLQ,6,30.26,29.15,103.81,1.91,october2018
168,LM0256,STRA_STRA,parental strains,E88,JRX,4,30.05,29.15,103.09,2.22,october2018
169,LM0256,STRA_STRA,parental strains,E88,AGS,1,29.26,29.15,100.38,1.74,october2018
170,LM0256,STRA_STRA,parental strains,E88,IJY,0,29.15,29.15,0,1.77,october2018
171,LM0256,STRA_STRA,parental strains,E88,BMX,7,30.58,29.15,104.91,1.59,october2018
172,LM0257,SCHUNT_SCHUNT,parental strains,E88,EJP,2,22.51,22.75,98.95,1.14,october2018
173,LM0257,SCHUNT_SCHUNT,parental strains,E88,LOW,3,21.7,22.75,95.38,1.79,october2018
174,LM0257,SCHUNT_SCHUNT,parental strains,E88,TUV,5,21.3,22.75,93.63,2.89,october2018
175,LM0257,SCHUNT_SCHUNT,parental strains,E88,JQU,8,20.44,22.75,89.85,1.46,october2018
176,LM0257,SCHUNT_SCHUNT,parental strains,E88,UVY,6,21.03,22.75,92.44,0.96,october2018
177,LM0257,SCHUNT_SCHUNT,parental strains,E88,DHX,4,22.35,22.75,98.24,3.66,october2018
178,LM0257,SCHUNT_SCHUNT,parental strains,E88,BEF,1,22.37,22.75,98.33,1.53,october2018
179,LM0257,SCHUNT_SCHUNT,parental strains,E88,CJP,0,22.75,22.75,0,2.32,october2018
180,LM0257,SCHUNT_SCHUNT,parental strains,E88,PVX,7,21.77,22.75,95.69,1.11,october2018
181,LM0258,BUSNA_PWD,outbred hybrids,E64,CGS,2,19.47,19.74,98.63,1.3,october2018
182,LM0258,BUSNA_PWD,outbred hybrids,E64,FYZ,3,19.44,19.74,98.48,1.92,october2018
183,LM0258,BUSNA_PWD,outbred hybrids,E64,JXZ,5,18.53,19.74,93.87,1.08,october2018
184,LM0258,BUSNA_PWD,outbred hybrids,E64,HVW,8,18.28,19.74,92.6,1.22,october2018
185,LM0258,BUSNA_PWD,outbred hybrids,E64,KMS,6,18.7,19.74,94.73,0.84,october2018
186,LM0258,BUSNA_PWD,outbred hybrids,E64,AEQ,4,19.42,19.74,98.38,1.24,october2018
187,LM0258,BUSNA_PWD,outbred hybrids,E64,OPZ,1,19.18,19.74,97.16,1.55,october2018
188,LM0258,BUSNA_PWD,outbred hybrids,E64,HJU,0,19.74,19.74,0,1.25,october2018
189,LM0258,BUSNA_PWD,outbred hybrids,E64,HKX,7,18.14,19.74,91.89,0.87,october2018
190,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,AFV,2,29.25,28.89,101.25,1.14,october2018
191,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,GTW,3,29.46,28.89,101.97,1.68,october2018
192,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,CLS,5,28.55,28.89,98.82,1.5,october2018
193,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,GHI,8,28.32,28.89,98.03,2.58,october2018
194,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,GHL,6,28.77,28.89,99.58,1.57,october2018
195,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,DKW,4,28.54,28.89,98.79,1.86,october2018
196,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,FGV,1,29.68,28.89,102.73,2.19,october2018
197,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,ALR,0,28.89,28.89,0,1.64,october2018
198,LM0259,STRA_BUSNA,inter subsp. hybrids,E64,NUY,7,29.44,28.89,101.9,1.38,october2018
199,LM0260,SCHUNT_SCHUNT,parental strains,E64,CKT,0,29.02,29.02,100,1.21,december2018
200,LM0260,SCHUNT_SCHUNT,parental strains,E64,AUZ,6,26,29.02,89.59338387,2.76,december2018
201,LM0260,SCHUNT_SCHUNT,parental strains,E64,GHV,8,27.06,29.02,93.24603722,3.14,december2018
202,LM0260,SCHUNT_SCHUNT,parental strains,E64,GIT,4,28.15,29.02,97.00206754,1.03,december2018
203,LM0260,SCHUNT_SCHUNT,parental strains,E64,ITX,3,29.36,29.02,101.1716058,1.61,december2018
204,LM0260,SCHUNT_SCHUNT,parental strains,E64,RSU,1,24.07,23.88,100.7956449,1.69,december2018
205,LM0260,SCHUNT_SCHUNT,parental strains,E64,JKZ,5,28.75,29.02,99.06960717,2.65,december2018
206,LM0260,SCHUNT_SCHUNT,parental strains,E64,RSU,1,20.86,21.35,97.70491803,1.46,december2018
207,LM0260,SCHUNT_SCHUNT,parental strains,E64,RSU,1,17.06,17.02,100.2350176,1,december2018
208,LM0260,SCHUNT_SCHUNT,parental strains,E64,RSU,1,23.6,23.93,98.62097785,1.75,december2018
209,LM0260,SCHUNT_SCHUNT,parental strains,E64,RTX,2,29.31,29.02,100.9993108,1.27,december2018
210,LM0260,SCHUNT_SCHUNT,parental strains,E64,NTU,7,27.42,29.02,94.48656099,2.37,december2018
211,LM0260,SCHUNT_SCHUNT,parental strains,E64,RSU,1,29.82,29.02,102.7567195,1.82,december2018
212,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,DMN,2,19.79,20.09,98.51,0.95,october2018
213,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,DTW,3,19.56,20.09,97.36,1.25,october2018
214,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,CNO,5,19.34,20.09,96.27,1.09,october2018
215,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,KOP,8,18.69,20.09,93.03,1.36,october2018
216,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,FGZ,6,19.57,20.09,97.41,1.51,october2018
217,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,CFZ,4,19.01,20.09,94.62,2.52,october2018
218,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,CLZ,1,19.81,20.09,98.61,1.16,october2018
219,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,DLN,0,20.09,20.09,0,0.77,october2018
220,LM0261,PWD_SCHUNT,inter subsp. hybrids,E64,PRZ,7,19.74,20.09,98.26,1.21,october2018
221,LM0262,BUSNA_BUSNA,parental strains,E64,BKV,4,22.96,21.13,108.660672,1.04,december2018
222,LM0262,BUSNA_BUSNA,parental strains,E64,HKS,1,21.71,20.88,103.9750958,1.67,december2018
223,LM0262,BUSNA_BUSNA,parental strains,E64,HKS,1,17.68,17.57,100.6260672,2.67,december2018
224,LM0262,BUSNA_BUSNA,parental strains,E64,HKS,1,21.53,21.13,101.8930431,1.38,december2018
225,LM0262,BUSNA_BUSNA,parental strains,E64,HKS,1,21.89,22.15,98.8261851,1.26,december2018
226,LM0262,BUSNA_BUSNA,parental strains,E64,CFV,2,21.95,21.13,103.8807383,1.65,december2018
227,LM0262,BUSNA_BUSNA,parental strains,E64,NRV,3,22.13,21.13,104.7326077,0.94,december2018
228,LM0262,BUSNA_BUSNA,parental strains,E64,ABO,8,22.95,21.13,108.613346,1.42,december2018
229,LM0262,BUSNA_BUSNA,parental strains,E64,FHK,7,22.27,21.13,105.3951727,1.58,december2018
230,LM0262,BUSNA_BUSNA,parental strains,E64,NSX,6,20.91,21.13,98.95882631,1.79,december2018
231,LM0262,BUSNA_BUSNA,parental strains,E64,AMV,5,21.94,21.13,103.8334122,1.72,december2018
232,LM0262,BUSNA_BUSNA,parental strains,E64,HKS,1,20.37,21.31,95.58892539,1.47,december2018
233,LM0262,BUSNA_BUSNA,parental strains,E64,HQZ,0,21.13,21.13,100,1.08,december2018
234,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,AKS,1,21.88,22.39,97.72219741,1.86,december2018
235,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,BIJ,4,22.37,21.25,105.2705882,0.98,december2018
236,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,DHI,2,22.28,21.25,104.8470588,1.67,december2018
237,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,AKS,1,22.6,22.77,99.2534036,1.83,december2018
238,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,AKS,1,13.85,20.74,66.77917068,1.39,december2018
239,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,LMZ,8,21.26,21.25,100.0470588,1.56,december2018
240,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,AKS,1,30.62,30.09,101.7613825,2.34,december2018
241,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,QRT,3,21.82,21.25,102.6823529,1.48,december2018
242,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,CHM,5,22.05,21.25,103.7647059,1.66,december2018
243,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,LNO,0,21.25,21.25,100,1.45,december2018
244,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,AKS,1,21.82,21.25,102.6823529,2.22,december2018
245,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,JRZ,6,20.33,21.25,95.67058824,1.82,december2018
246,LM0263,PWD_SCHUNT,inter subsp. hybrids,E64,NPW,7,22.03,21.25,103.6705882,1.27,december2018
247,LM0264,PWD_PWD,parental strains,E64,OQT,2,18.31,17.88,102.4,1.05,october2018
248,LM0264,PWD_PWD,parental strains,E64,ENV,3,18.27,17.88,102.18,0.89,october2018
249,LM0264,PWD_PWD,parental strains,E64,DIJ,5,17.65,17.88,98.71,1.05,october2018
250,LM0264,PWD_PWD,parental strains,E64,ADL,8,17.81,17.88,99.61,1.01,october2018
251,LM0264,PWD_PWD,parental strains,E64,BEV,6,18.08,17.88,101.12,0.95,october2018
252,LM0264,PWD_PWD,parental strains,E64,IJR,4,18.55,17.88,103.75,1.06,october2018
253,LM0264,PWD_PWD,parental strains,E64,AJT,1,18.3,17.88,102.35,0.82,october2018
